	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.0039268177531740665	0.8661452938234592
1SGTH2OHE2ABCte	-0.0039268177531740665	0.8661452938234592
23CGAMPABCte	-0.027001352221828135	0.24636370320014228
23CGAMP_AICARtex	-0.027001352221828135	0.24636370320014228
23CGAMP_OHtex	-0.027001352221828135	0.24636370320014228
23CGAMP_THMMPtex	-0.027001352221828135	0.24636370320014228
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.0039268177531740665	0.8661452938234592
23E1QN4GST	-0.0039268177531740665	0.8661452938234592
23E2QN1GST	-0.0039268177531740665	0.8661452938234592
23E2QN4GST	-0.0039268177531740665	0.8661452938234592
2ABUTGLYDP	-0.030973189508264203	0.18357654435762347
2ABUTTA	-0.14958791031792903	1.0656798631019711e-10
2ABUTtec	-0.14958791031792903	1.0656798631019711e-10
2DADNt	0.024578056745464615	0.29135372527437564
2DCYTt
2DGSNt	0.029611742755817894	0.20360641120723932
2DINSt	0.02114245524306371	0.36407497806952993
2DURIt	0.02997616994414496	0.19809536892407892
2H3MV
2HBO	-0.15414825489028275	2.803562870486016e-11
2HB_5OXPROtex	-0.1422809872538405	8.32658912600611e-10
2HB_ACACtex	-0.13860133550943057	2.2555086459764357e-09
2HB_ACtex	-0.1422809872538405	8.32658912600611e-10
2HB_BUTtex	-0.15381752499171936	3.092833417153902e-11
2HB_DLACtex	-0.1422809872538405	8.32658912600611e-10
2HB_GLYCLTtex	-0.09575771100293531	3.791886169342311e-05
2HB_PPAtex	-0.15381752499171936	3.092833417153902e-11
2HBt2	-0.15381752499171936	3.092833417153902e-11
2HIV
2IMBUTDA	-0.1422809872538405	8.32658912600611e-10
2IMPPADA	-0.06663258967350379	0.004191961030075911
2LACK_L	-0.18065259501922287	5.332539804903976e-15
2LACP_L	-0.18065259501922287	5.332539804903976e-15
2OBUT_2HBtex	-0.15381752499171936	3.092833417153902e-11
2OBUT_5OXPROtex	-0.1422809872538405	8.32658912600611e-10
2OBUT_ACACtex	-0.09036885338001602	0.00010149924771161379
2OBUT_ACtex	-0.1422809872538405	8.32658912600611e-10
2OBUT_BUTtex	-0.037502119658915825	0.10732786961976828
2OBUT_DLACtex	-0.1422809872538405	8.32658912600611e-10
2OBUT_GLYCLTtex	-0.052276217095260445	0.024738733986736733
2OBUT_LLACtex	-0.037502119658915825	0.10732786961976828
2OBUT_PPAtex	-0.037502119658915825	0.10732786961976828
2OBUTt	-0.037502119658915825	0.10732786961976828
2OHE1MT	-0.057800930174596796	0.01302285580373298
2OHE1MT2	-0.057800930174596796	0.01302285580373298
