	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.025760034292873008	0.268373366432845
1SGTH2OHE2ABCte	-0.025760034292873008	0.268373366432845
23CGAMPABCte	-0.0620944487142246	0.007582643234789532
23CGAMP_AICARtex	-0.0620944487142246	0.007582643234789532
23CGAMP_OHtex	-0.0620944487142246	0.007582643234789532
23CGAMP_THMMPtex	-0.0620944487142246	0.007582643234789532
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.025760034292873008	0.268373366432845
23E1QN4GST	-0.025760034292873008	0.268373366432845
23E2QN1GST	-0.025760034292873008	0.268373366432845
23E2QN4GST	-0.025760034292873008	0.268373366432845
2ABUTGLYDP	-0.02584997456493644	0.2667052595201249
2ABUTTA	-0.05284172419845796	0.02310888356942547
2ABUTtec	-0.05284172419845796	0.02310888356942547
2DADNt	-0.061367085752227775	0.008320661329954371
2DCYTt
2DGSNt	-0.02773928932141665	0.2333046364359393
2DINSt	-0.023953070660137903	0.30340712079395843
2DURIt	-0.02778599661178272	0.23251825416467126
2H3MV
2HBO	-0.05851963387177552	0.011865546390373044
2HB_5OXPROtex	-0.04771335293307852	0.04027672987235849
2HB_ACACtex	-0.08539332563888012	0.00023770920977422169
2HB_ACtex	-0.04771335293307852	0.04027672987235849
2HB_BUTtex	-0.05632846603103347	0.015445827185934609
2HB_DLACtex	-0.04771335293307852	0.04027672987235849
2HB_GLYCLTtex	-0.09261762865429254	6.681266366767355e-05
2HB_PPAtex	-0.05632846603103347	0.015445827185934609
2HBt2	-0.05632846603103347	0.015445827185934609
2HIV
2IMBUTDA	-0.04771335293307852	0.04027672987235849
2IMPPADA	-0.07714167669891223	0.0009037357579511834
2LACK_L	-0.1907931732249765	1.312446945218489e-16
2LACP_L	-0.1907931732249765	1.312446945218489e-16
2OBUT_2HBtex	-0.05632846603103347	0.015445827185934609
2OBUT_5OXPROtex	-0.04771335293307852	0.04027672987235849
2OBUT_ACACtex	-0.07691134576149966	0.000936437366210174
2OBUT_ACtex	-0.04771335293307852	0.04027672987235849
2OBUT_BUTtex	0.007942155236148213	0.7329570266063621
2OBUT_DLACtex	-0.04771335293307852	0.04027672987235849
2OBUT_GLYCLTtex	-0.08750027509368723	0.00016576803254625348
2OBUT_LLACtex	0.007942155236148213	0.7329570266063621
2OBUT_PPAtex	0.007942155236148213	0.7329570266063621
2OBUTt	0.007942155236148213	0.7329570266063621
2OHE1MT	-0.0970342270242281	2.935876246033896e-05
2OHE1MT2	-0.0970342270242281	2.935876246033896e-05
2OHE1PX	0.020893428594696395	0.36936432796356367
