	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.34500277943553276	8.50621134485725e-53
1SGTH2OHE2ABCte	0.34500277943553276	8.50621134485725e-53
23CGAMPABCte	0.29759986444506975	4.1617023607663774e-39
23CGAMP_AICARtex	0.29759986444506975	4.1617023607663774e-39
23CGAMP_OHtex	0.29759986444506975	4.1617023607663774e-39
23CGAMP_THMMPtex	0.29759986444506975	4.1617023607663774e-39
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.34500277943553276	8.50621134485725e-53
23E1QN4GST	0.34500277943553276	8.50621134485725e-53
23E2QN1GST	0.34500277943553276	8.50621134485725e-53
23E2QN4GST	0.34500277943553276	8.50621134485725e-53
2ABUTGLYDP	0.3363033965359142	4.2513649682803515e-50
2ABUTTA	0.21119782149609362	4.448950679555193e-20
2ABUTtec	0.21119782149609362	4.448950679555193e-20
2DADNt	0.2735879704289646	4.389999416890136e-33
2DCYTt
2DGSNt	0.38486667688507664	2.6320100848359976e-66
2DINSt	0.3781234743716156	6.944189986584485e-64
2DURIt	0.3844792255458573	3.638829796219286e-66
2H3MV
2HBO	0.42709133252809717	8.109560451654453e-83
2HB_5OXPROtex	0.23804045724894304	3.2040280033899783e-25
2HB_ACACtex	0.36005480765840464	1.1302801332110977e-57
2HB_ACtex	0.23804045724894304	3.2040280033899783e-25
2HB_BUTtex	0.42763155344854714	4.808434138239927e-83
2HB_DLACtex	0.23804045724894304	3.2040280033899783e-25
2HB_GLYCLTtex	0.35032094779815354	1.7260060275914956e-54
2HB_PPAtex	0.42763155344854714	4.808434138239927e-83
2HBt2	0.42763155344854714	4.808434138239927e-83
2HIV
2IMBUTDA	0.23804045724894304	3.2040280033899783e-25
2IMPPADA	0.4800821506105827	3.7002849136759087e-107
2LACK_L	0.24544304878512996	9.308852065500893e-27
2LACP_L	0.24544304878512996	9.308852065500893e-27
2OBUT_2HBtex	0.42763155344854714	4.808434138239927e-83
2OBUT_5OXPROtex	0.23804045724894304	3.2040280033899783e-25
2OBUT_ACACtex	0.2548537687082292	8.699948746961407e-29
2OBUT_ACtex	0.23804045724894304	3.2040280033899783e-25
2OBUT_BUTtex	0.19143228295293754	1.035226494683823e-16
2OBUT_DLACtex	0.23804045724894304	3.2040280033899783e-25
2OBUT_GLYCLTtex	0.263975978789834	7.7688146360041e-31
2OBUT_LLACtex	0.19143228295293754	1.035226494683823e-16
2OBUT_PPAtex	0.19143228295293754	1.035226494683823e-16
2OBUTt	0.19143228295293754	1.035226494683823e-16
2OHE1MT	0.4347382748192781	4.540298651492968e-86
2OHE1MT2	0.4347382748192781	4.540298651492968e-86
