	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.07126660205910879	0.002173351143241691
1SGTH2OHE2ABCte	0.07126660205910879	0.002173351143241691
23CGAMPABCte	-0.07148660128870535	0.0021053943636941026
23CGAMP_AICARtex	-0.07148660128870535	0.0021053943636941026
23CGAMP_OHtex	-0.07148660128870535	0.0021053943636941026
23CGAMP_THMMPtex	-0.07148660128870535	0.0021053943636941026
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.07126660205910879	0.002173351143241691
23E1QN4GST	0.07126660205910879	0.002173351143241691
23E2QN1GST	0.07126660205910879	0.002173351143241691
23E2QN4GST	0.07126660205910879	0.002173351143241691
2ABUTGLYDP	0.012563032689930117	0.5893900174411124
2ABUTTA	-0.061222843622196134	0.008474425436883946
2ABUTtec	-0.061222843622196134	0.008474425436883946
2DADNt	-0.08111003812757721	0.00048269386969278016
2DCYTt
2DGSNt	-0.05079940647337417	0.028983118897524706
2DINSt	-0.042676850098491856	0.06662393114168016
2DURIt	-0.05093027371458515	0.028571486476493397
2H3MV
2HBO	-0.006050062951810312	0.7949341615811215
2HB_5OXPROtex	-0.0604101484711112	0.009389166444607116
2HB_ACACtex	-0.037010909480807895	0.11172055103305001
2HB_ACtex	-0.0604101484711112	0.009389166444607116
2HB_BUTtex	-0.007618376381189774	0.743452531287422
2HB_DLACtex	-0.0604101484711112	0.009389166444607116
2HB_GLYCLTtex	-0.10834771107369588	3.03719328001062e-06
2HB_PPAtex	-0.007618376381189774	0.743452531287422
2HBt2	-0.007618376381189774	0.743452531287422
2HIV
2IMBUTDA	-0.0604101484711112	0.009389166444607116
2IMPPADA	-0.11470229049332971	7.659349574164403e-07
2LACK_L	-0.13689960097723247	3.4429812539235224e-09
2LACP_L	-0.13689960097723247	3.4429812539235224e-09
2OBUT_2HBtex	-0.007618376381189774	0.743452531287422
2OBUT_5OXPROtex	-0.0604101484711112	0.009389166444607116
2OBUT_ACACtex	-0.05804403087369893	0.012573219335779135
2OBUT_ACtex	-0.0604101484711112	0.009389166444607116
2OBUT_BUTtex	-0.003572777791398281	0.8780162402506275
2OBUT_DLACtex	-0.0604101484711112	0.009389166444607116
2OBUT_GLYCLTtex	-0.1267503678335108	4.572820348982923e-08
2OBUT_LLACtex	-0.003572777791398281	0.8780162402506275
2OBUT_PPAtex	-0.003572777791398281	0.8780162402506275
2OBUTt	-0.003572777791398281	0.8780162402506275
2OHE1MT	-0.08836996992227862	0.000142519680924731
2OHE1MT2	-0.08836996992227862	0.000142519680924731
2OHE1PX	0.005361931829420541	0.8178226023289323
