	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.014306344316771167	0.5388045416882735
1SGTH2OHE2ABCte	-0.014306344316771167	0.5388045416882735
23CGAMPABCte	-0.10456699117305211	6.65367957368749e-06
23CGAMP_AICARtex	-0.10456699117305211	6.65367957368749e-06
23CGAMP_OHtex	-0.10456699117305211	6.65367957368749e-06
23CGAMP_THMMPtex	-0.10456699117305211	6.65367957368749e-06
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.014306344316771167	0.5388045416882735
23E1QN4GST	-0.014306344316771167	0.5388045416882735
23E2QN1GST	-0.014306344316771167	0.5388045416882735
23E2QN4GST	-0.014306344316771167	0.5388045416882735
2ABUTGLYDP	-0.03457813321153322	0.13730658784865465
2ABUTTA	-0.05399874916985641	0.020263035345561942
2ABUTtec	-0.05399874916985641	0.020263035345561942
2DADNt	-0.023180356743773636	0.31927670426122434
2DCYTt
2DGSNt	-0.015450090121781529	0.5068410997382671
2DINSt	-0.009775660929509737	0.674510710597158
2DURIt	-0.015332719811442401	0.5100747000001087
2H3MV
2HBO	-0.03435650568366177	0.1398454734970112
2HB_5OXPROtex	-0.05073349777991461	0.029192353731869354
2HB_ACACtex	-0.0654226034915294	0.004900193431067206
2HB_ACtex	-0.05073349777991461	0.029192353731869354
2HB_BUTtex	-0.032302813358529386	0.1651163528039459
2HB_DLACtex	-0.05073349777991461	0.029192353731869354
2HB_GLYCLTtex	-0.021696700290089747	0.35124121965033683
2HB_PPAtex	-0.032302813358529386	0.1651163528039459
2HBt2	-0.032302813358529386	0.1651163528039459
2HIV
2IMBUTDA	-0.05073349777991461	0.029192353731869354
2IMPPADA	-0.0640649377019941	0.005868958387702806
2LACK_L	-0.13651687777621285	3.809199893815214e-09
2LACP_L	-0.13651687777621285	3.809199893815214e-09
2OBUT_2HBtex	-0.032302813358529386	0.1651163528039459
2OBUT_5OXPROtex	-0.05073349777991461	0.029192353731869354
2OBUT_ACACtex	-0.0602461780150486	0.009584055625784994
2OBUT_ACtex	-0.05073349777991461	0.029192353731869354
2OBUT_BUTtex	-0.0026252457439755322	0.9102058696531922
2OBUT_DLACtex	-0.05073349777991461	0.029192353731869354
2OBUT_GLYCLTtex	-0.019474126619180913	0.4027759103064906
2OBUT_LLACtex	-0.0026252457439755322	0.9102058696531922
2OBUT_PPAtex	-0.0026252457439755322	0.9102058696531922
2OBUTt	-0.0026252457439755322	0.9102058696531922
2OHE1MT	-0.04007381699996332	0.08502708865836328
2OHE1MT2	-0.04007381699996332	0.08502708865836328
2OHE1PX	0.015672519211340757	0.5007427440079522
