	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	-0.059789804534033264	0.010206993037609092
1SGTH2OHE2ABCte	-0.059789804534033264	0.010206993037609092
23CGAMPABCte	-0.08969504035085567	0.00011437498370186828
23CGAMP_AICARtex	-0.08969504035085567	0.00011437498370186828
23CGAMP_OHtex	-0.08969504035085567	0.00011437498370186828
23CGAMP_THMMPtex	-0.08969504035085567	0.00011437498370186828
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	-0.059789804534033264	0.010206993037609092
23E1QN4GST	-0.059789804534033264	0.010206993037609092
23E2QN1GST	-0.059789804534033264	0.010206993037609092
23E2QN4GST	-0.059789804534033264	0.010206993037609092
2ABUTGLYDP	-0.0014513141822739316	0.9503265127011812
2ABUTTA	-0.04620726686838152	0.04720268898662874
2ABUTtec	-0.04620726686838152	0.04720268898662874
2DADNt	-0.13439039896956806	6.835111009299029e-09
2DCYTt		
2DGSNt	-0.1999280990717451	4.342026561872905e-18
2DINSt	-0.19255966902423097	7.200108561467986e-17
2DURIt	-0.20030411933728814	3.7510773605292196e-18
2H3MV		
2HBO	-0.04263861678576098	0.0670904305975984
2HB_5OXPROtex	-0.04183708813804854	0.07239651609716416
2HB_ACACtex	-0.07875169789751323	0.0007101643511430879
2HB_ACtex	-0.04183708813804854	0.07239651609716416
2HB_BUTtex	-0.04146123983561413	0.07500030506125238
2HB_DLACtex	-0.04183708813804854	0.07239651609716416
2HB_GLYCLTtex	-0.030098975187164784	0.1962630325808431
2HB_PPAtex	-0.04146123983561413	0.07500030506125238
2HBt2	-0.04146123983561413	0.07500030506125238
2HIV		
2IMBUTDA	-0.04183708813804854	0.07239651609716416
2IMPPADA	-0.12410233340605764	8.908041088944584e-08
2LACK_L	-0.1256250294747446	6.168969724921657e-08
2LACP_L	-0.1256250294747446	6.168969724921657e-08
2OBUT_2HBtex	-0.04146123983561413	0.07500030506125238
2OBUT_5OXPROtex	-0.04183708813804854	0.07239651609716416
2OBUT_ACACtex	-0.06121722730840794	0.008534045917086152
2OBUT_ACtex	-0.04183708813804854	0.07239651609716416
2OBUT_BUTtex	-0.0059875376242964195	0.7971683659529987
2OBUT_DLACtex	-0.04183708813804854	0.07239651609716416
2OBUT_GLYCLTtex	-0.013698627094269732	0.5565106179901241
2OBUT_LLACtex	-0.0059875376242964195	0.7971683659529987
2OBUT_PPAtex	-0.0059875376242964195	0.7971683659529987
2OBUTt	-0.0059875376242964195	0.7971683659529987
2OHE1MT	-0.1509161110347426	7.253229271898614e-11
2OHE1MT2	-0.1509161110347426	7.253229271898614e-11
