	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	0.3296676030726323	4.26103857671844e-48
1SGTH2OHE2ABCte	0.3296676030726323	4.26103857671844e-48
23CGAMPABCte	0.16767390866803505	4.0294700655724807e-13
23CGAMP_AICARtex	0.16767390866803505	4.0294700655724807e-13
23CGAMP_OHtex	0.16767390866803505	4.0294700655724807e-13
23CGAMP_THMMPtex	0.16767390866803505	4.0294700655724807e-13
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	0.3296676030726323	4.26103857671844e-48
23E1QN4GST	0.3296676030726323	4.26103857671844e-48
23E2QN1GST	0.3296676030726323	4.26103857671844e-48
23E2QN4GST	0.3296676030726323	4.26103857671844e-48
2ABUTGLYDP	0.3102917735711015	1.5619374278613413e-42
2ABUTTA	0.1382594056832205	2.3987260481182353e-09
2ABUTtec	0.1382594056832205	2.3987260481182353e-09
2DADNt	0.18607463337100277	7.374273441387047e-16
2DCYTt		
2DGSNt	0.2718194860130754	1.155969993427209e-32
2DINSt	0.271215146184792	1.6066479131612382e-32
2DURIt	0.2711160319544911	1.6956425092303038e-32
2H3MV		
2HBO	0.33265006836892225	5.448599264425306e-49
2HB_5OXPROtex	0.1644538270512127	1.1330004485372995e-12
2HB_ACACtex	0.2581415026178565	1.6231057798455774e-29
2HB_ACtex	0.1644538270512127	1.1330004485372995e-12
2HB_BUTtex	0.3339838565320687	2.1557451570492725e-49
2HB_DLACtex	0.1644538270512127	1.1330004485372995e-12
2HB_GLYCLTtex	0.2780653738327415	3.6633352579530987e-34
2HB_PPAtex	0.3339838565320687	2.1557451570492725e-49
2HBt2	0.3339838565320687	2.1557451570492725e-49
2HIV		
2IMBUTDA	0.1644538270512127	1.1330004485372995e-12
2IMPPADA	0.3460531410441549	3.9629335671348e-53
2LACK_L	0.1279973850657355	3.363077086944931e-08
2LACP_L	0.1279973850657355	3.363077086944931e-08
2OBUT_2HBtex	0.3339838565320687	2.1557451570492725e-49
2OBUT_5OXPROtex	0.1644538270512127	1.1330004485372995e-12
2OBUT_ACACtex	0.17252711762709994	8.160589564880681e-14
2OBUT_ACtex	0.1644538270512127	1.1330004485372995e-12
2OBUT_BUTtex	0.16852081895969676	3.0597372321612966e-13
2OBUT_DLACtex	0.1644538270512127	1.1330004485372995e-12
2OBUT_GLYCLTtex	0.2108022862015347	5.2369632040882814e-20
2OBUT_LLACtex	0.16852081895969676	3.0597372321612966e-13
2OBUT_PPAtex	0.16852081895969676	3.0597372321612966e-13
2OBUTt	0.16852081895969676	3.0597372321612966e-13
2OHE1MT	0.318228107909044	9.207501367002355e-45
