	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.010960097363384998	0.6377463741472016
1SGTH2OHE2ABCte	0.010960097363384998	0.6377463741472016
23CGAMPABCte	0.07680604259658635	0.0009517498769650702
23CGAMP_AICARtex	0.07680604259658635	0.0009517498769650702
23CGAMP_OHtex	0.07680604259658635	0.0009517498769650702
23CGAMP_THMMPtex	0.07680604259658635	0.0009517498769650702
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.010960097363384998	0.6377463741472016
23E1QN4GST	0.010960097363384998	0.6377463741472016
23E2QN1GST	0.010960097363384998	0.6377463741472016
23E2QN4GST	0.010960097363384998	0.6377463741472016
2ABUTGLYDP	-0.005945711843128702	0.7983942612611963
2ABUTTA	0.03265510863928933	0.16055294592367006
2ABUTtec	0.03265510863928933	0.16055294592367006
2DADNt	0.028098990791542853	0.22729703470967455
2DCYTt
2DGSNt	0.0780179553770408	0.0007887501779263545
2DINSt	0.07114938355298221	0.0022103743185129298
2DURIt	0.07806813618097881	0.000782595062438399
2H3MV
2HBO	0.038831774481708395	0.09515412213779362
2HB_5OXPROtex	0.018723483154661588	0.42115564456153487
2HB_ACACtex	0.08073697176360957	0.0005126178290244274
2HB_ACtex	0.018723483154661588	0.42115564456153487
2HB_BUTtex	0.03493315177310469	0.1333138359436169
2HB_DLACtex	0.018723483154661588	0.42115564456153487
2HB_GLYCLTtex	0.039161634532630316	0.09237482654520154
2HB_PPAtex	0.03493315177310469	0.1333138359436169
2HBt2	0.03493315177310469	0.1333138359436169
2HIV
2IMBUTDA	0.018723483154661588	0.42115564456153487
2IMPPADA	0.0671581421067022	0.00387297164051726
2LACK_L	0.03284699516446857	0.1581077722049978
2LACP_L	0.03284699516446857	0.1581077722049978
2OBUT_2HBtex	0.03493315177310469	0.1333138359436169
2OBUT_5OXPROtex	0.018723483154661588	0.42115564456153487
2OBUT_ACACtex	0.09108361389473484	8.816783955642182e-05
2OBUT_ACtex	0.018723483154661588	0.42115564456153487
2OBUT_BUTtex	-0.027092256894081772	0.24439255953950303
2OBUT_DLACtex	0.018723483154661588	0.42115564456153487
2OBUT_GLYCLTtex	0.03519394323994627	0.1304384657973118
2OBUT_LLACtex	-0.027092256894081772	0.24439255953950303
2OBUT_PPAtex	-0.027092256894081772	0.24439255953950303
2OBUTt	-0.027092256894081772	0.24439255953950303
2OHE1MT	0.05389862474205393	0.02049661449615054
2OHE1MT2	0.05389862474205393	0.02049661449615054
2OHE1PX	-0.018050419018450576	0.43804648024840853
2OHE2MT	0.05389862474205393	0.02049661449615054
2OHE2MT2	0.05389862474205393	0.02049661449615054
