	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	0.06043343742815479	0.009895097651231555
1SGTH2OHE2ABCte	0.06043343742815479	0.009895097651231555
23CGAMPABCte	-0.07715132248544834	0.000984415558899735
23CGAMP_AICARtex	-0.07715132248544834	0.000984415558899735
23CGAMP_OHtex	-0.07715132248544834	0.000984415558899735
23CGAMP_THMMPtex	-0.07715132248544834	0.000984415558899735
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	0.06043343742815479	0.009895097651231555
23E1QN4GST	0.06043343742815479	0.009895097651231555
23E2QN1GST	0.06043343742815479	0.009895097651231555
23E2QN4GST	0.06043343742815479	0.009895097651231555
2ABUTGLYDP	0.01649374873491433	0.4818032647517644
2ABUTTA	-0.04422128172737855	0.05920206824479417
2ABUTtec	-0.04422128172737855	0.05920206824479417
2DADNt	-0.07982805704927848	0.000650534452300337
2DCYTt
2DGSNt	-0.032158308437582946	0.1701538440935792
2DINSt	-0.02835951508931018	0.2264313078633763
2DURIt	-0.03203009426968816	0.17186431475243916
2H3MV
2HBO	-0.011322540345364143	0.6292004912212918
2HB_5OXPROtex	-0.04514322124400179	0.05409640853318601
2HB_ACACtex	-0.0502628601853845	0.031972137652003255
2HB_ACtex	-0.04514322124400179	0.05409640853318601
2HB_BUTtex	-0.01305477897556043	0.5777118588114605
2HB_DLACtex	-0.04514322124400179	0.05409640853318601
2HB_GLYCLTtex	-0.10966182938776448	2.724615151659345e-06
2HB_PPAtex	-0.01305477897556043	0.5777118588114605
2HBt2	-0.01305477897556043	0.5777118588114605
2HIV
2IMBUTDA	-0.04514322124400179	0.05409640853318601
2IMPPADA	-0.10430749282025353	8.186529037090805e-06
2LACK_L	-0.15739690426862707	1.4367142693846747e-11
2LACP_L	-0.15739690426862707	1.4367142693846747e-11
2OBUT_2HBtex	-0.01305477897556043	0.5777118588114605
2OBUT_5OXPROtex	-0.04514322124400179	0.05409640853318601
2OBUT_ACACtex	-0.06737152838585517	0.00402429204753077
2OBUT_ACtex	-0.04514322124400179	0.05409640853318601
2OBUT_BUTtex	-0.017841520734110806	0.446721494322032
2OBUT_DLACtex	-0.04514322124400179	0.05409640853318601
2OBUT_GLYCLTtex	-0.12589293760596548	7.044988675319399e-08
2OBUT_LLACtex	-0.017841520734110806	0.446721494322032
2OBUT_PPAtex	-0.017841520734110806	0.446721494322032
2OBUTt	-0.017841520734110806	0.446721494322032
2OHE1MT	-0.07064807524973221	0.002557303862907964
2OHE1MT2	-0.07064807524973221	0.002557303862907964
2OHE1PX	-0.00033800047157584736	0.9884999691996966
2OHE2MT	-0.07064807524973221	0.002557303862907964
