	rho	pvalue
15KPGE1Ry		
15KPGE2Ry		
15KPGE3Ry		
15KPGF1Ry		
15KPGF2Ry		
15KPGF3Ry		
1SGTH2OHE1ABCte	-0.09317422997386061	6.834499657414567e-05
1SGTH2OHE2ABCte	-0.09317422997386061	6.834499657414567e-05
23CGAMPABCte	-0.14229972726569837	1.0655133810657314e-09
23CGAMP_AICARtex	-0.14229972726569837	1.0655133810657314e-09
23CGAMP_OHtex	-0.14229972726569837	1.0655133810657314e-09
23CGAMP_THMMPtex	-0.14229972726569837	1.0655133810657314e-09
23CN3PA		
23CN3PC		
23CN3PG		
23CN3PU		
23E1QN1GST	-0.09317422997386061	6.834499657414567e-05
23E1QN4GST	-0.09317422997386061	6.834499657414567e-05
23E2QN1GST	-0.09317422997386061	6.834499657414567e-05
23E2QN4GST	-0.09317422997386061	6.834499657414567e-05
2ABUTGLYDP	-0.04045181246110314	0.08439629087657752
2ABUTTA	-0.07325282636128387	0.001760077738329451
2ABUTtec	-0.07325282636128387	0.001760077738329451
2DADNt	-0.202598384896673	2.5407224463520393e-18
2DCYTt		
2DGSNt	-0.28798690642635694	4.095179735317638e-36
2DINSt	-0.28320613990720844	6.221065534230853e-35
2DURIt	-0.2887654358361691	2.6161953954216026e-36
2H3MV		
2HBO	-0.12439705042468814	1.0069267524136111e-07
2HB_5OXPROtex	-0.07128491212827302	0.002336589103041283
2HB_ACACtex	-0.12531621902076423	8.089042121432559e-08
2HB_ACtex	-0.07128491212827302	0.002336589103041283
2HB_BUTtex	-0.1220148825444556	1.7632167934780354e-07
2HB_DLACtex	-0.07128491212827302	0.002336589103041283
2HB_GLYCLTtex	-0.05526422487966191	0.018349792117157142
2HB_PPAtex	-0.1220148825444556	1.7632167934780354e-07
2HBt2	-0.1220148825444556	1.7632167934780354e-07
2HIV		
2IMBUTDA	-0.07128491212827302	0.002336589103041283
2IMPPADA	-0.2771728768045479	1.7877512568249842e-33
2LACK_L	-0.04111690345986661	0.07940894182401204
2LACP_L	-0.04111690345986661	0.07940894182401204
2OBUT_2HBtex	-0.1220148825444556	1.7632167934780354e-07
2OBUT_5OXPROtex	-0.07128491212827302	0.002336589103041283
2OBUT_ACACtex	-0.10346448444903032	9.68882753684582e-06
2OBUT_ACtex	-0.07128491212827302	0.002336589103041283
2OBUT_BUTtex	0.0019401172764209303	0.9340628933287799
2OBUT_DLACtex	-0.07128491212827302	0.002336589103041283
2OBUT_GLYCLTtex	-0.019418560393998998	0.40757947244591464
2OBUT_LLACtex	0.0019401172764209303	0.9340628933287799
2OBUT_PPAtex	0.0019401172764209303	0.9340628933287799
2OBUTt	0.0019401172764209303	0.9340628933287799
2OHE1MT	-0.21366465587716096	3.023042201117295e-20
