	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.07986244714801656	0.0006470287426367656
1SGTH2OHE2ABCte	-0.07986244714801656	0.0006470287426367656
23CGAMPABCte	-0.0680554269253714	0.003666480111627036
23CGAMP_AICARtex	-0.0680554269253714	0.003666480111627036
23CGAMP_OHtex	-0.0680554269253714	0.003666480111627036
23CGAMP_THMMPtex	-0.0680554269253714	0.003666480111627036
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.07986244714801656	0.0006470287426367656
23E1QN4GST	-0.07986244714801656	0.0006470287426367656
23E2QN1GST	-0.07986244714801656	0.0006470287426367656
23E2QN4GST	-0.07986244714801656	0.0006470287426367656
2ABUTGLYDP	-0.02714894080835064	0.24688466058926103
2ABUTTA	-0.044377343730912906	0.0583107229225648
2ABUTtec	-0.044377343730912906	0.0583107229225648
2DADNt	-0.04880715803143016	0.03729066389311453
2DCYTt
2DGSNt	-0.0959367478523636	4.1212333335969244e-05
2DINSt	-0.09712672653243827	3.300452249529954e-05
2DURIt	-0.09635533937062318	3.812621727326347e-05
2H3MV
2HBO	-0.022068293560164775	0.3466063914654791
2HB_5OXPROtex	-0.04904956937785096	0.03635598726896635
2HB_ACACtex	-0.033340127490389705	0.15498341408461894
2HB_ACtex	-0.04904956937785096	0.03635598726896635
2HB_BUTtex	-0.023959382323812284	0.3068435758693327
2HB_DLACtex	-0.04904956937785096	0.03635598726896635
2HB_GLYCLTtex	-0.047302666245012254	0.04356015374194779
2HB_PPAtex	-0.023959382323812284	0.3068435758693327
2HBt2	-0.023959382323812284	0.3068435758693327
2HIV
2IMBUTDA	-0.04904956937785096	0.03635598726896635
2IMPPADA	-0.0841681145196412	0.00032359981116431295
2LACK_L	-0.14178223284837885	1.2255422836607295e-09
2LACP_L	-0.14178223284837885	1.2255422836607295e-09
2OBUT_2HBtex	-0.023959382323812284	0.3068435758693327
2OBUT_5OXPROtex	-0.04904956937785096	0.03635598726896635
2OBUT_ACACtex	-0.01958105863214673	0.4036657557271641
2OBUT_ACtex	-0.04904956937785096	0.03635598726896635
2OBUT_BUTtex	-0.04607619393133338	0.049308827380855194
2OBUT_DLACtex	-0.04904956937785096	0.03635598726896635
2OBUT_GLYCLTtex	-0.04661483578922316	0.04671020895706864
2OBUT_LLACtex	-0.04607619393133338	0.049308827380855194
2OBUT_PPAtex	-0.04607619393133338	0.049308827380855194
2OBUTt	-0.04607619393133338	0.049308827380855194
2OHE1MT	-0.07787978440867299	0.0008805501562865212
2OHE1MT2	-0.07787978440867299	0.0008805501562865212
2OHE1PX	0.03629331814119645	0.12157469001071398
