	rho	pvalue
15KPGE1Ry
15KPGE2Ry
15KPGE3Ry
15KPGF1Ry
15KPGF2Ry
15KPGF3Ry
1SGTH2OHE1ABCte	-0.05727885781969902	0.013790267510770494
1SGTH2OHE2ABCte	-0.05727885781969902	0.013790267510770494
23CGAMPABCte	-0.09769748719885178	2.586897914508688e-05
23CGAMP_AICARtex	-0.09769748719885178	2.586897914508688e-05
23CGAMP_OHtex	-0.09769748719885178	2.586897914508688e-05
23CGAMP_THMMPtex	-0.09769748719885178	2.586897914508688e-05
23CN3PA
23CN3PC
23CN3PG
23CN3PU
23E1QN1GST	-0.05727885781969902	0.013790267510770494
23E1QN4GST	-0.05727885781969902	0.013790267510770494
23E2QN1GST	-0.05727885781969902	0.013790267510770494
23E2QN4GST	-0.05727885781969902	0.013790267510770494
2ABUTGLYDP	-0.06427598488386695	0.0057078509625066165
2ABUTTA	-0.08835335182326506	0.00014293360517341502
2ABUTtec	-0.08835335182326506	0.00014293360517341502
2DADNt	-0.13297894743326857	9.569868189369268e-09
2DCYTt
2DGSNt	-0.16333299656547776	1.6159462609581312e-12
2DINSt	-0.16197248782554188	2.47830852812154e-12
2DURIt	-0.16355010087534072	1.5088390412592096e-12
2H3MV
2HBO	-0.05503372725838479	0.017981315192117684
2HB_5OXPROtex	-0.08676799309742213	0.00018806181867747182
2HB_ACACtex	-0.11121891844401544	1.6450173558611806e-06
2HB_ACtex	-0.08676799309742213	0.00018806181867747182
2HB_BUTtex	-0.05532791459625322	0.017375238119257896
2HB_DLACtex	-0.08676799309742213	0.00018806181867747182
2HB_GLYCLTtex	-0.07579306054945326	0.0011113499615182521
2HB_PPAtex	-0.05532791459625322	0.017375238119257896
2HBt2	-0.05532791459625322	0.017375238119257896
2HIV
2IMBUTDA	-0.08676799309742213	0.00018806181867747182
2IMPPADA	-0.17873849575152767	9.872158554983642e-15
2LACK_L	-0.1911277174221606	1.1592759381328137e-16
2LACP_L	-0.1911277174221606	1.1592759381328137e-16
2OBUT_2HBtex	-0.05532791459625322	0.017375238119257896
2OBUT_5OXPROtex	-0.08676799309742213	0.00018806181867747182
2OBUT_ACACtex	-0.11916764531721796	2.7816048707934673e-07
2OBUT_ACtex	-0.08676799309742213	0.00018806181867747182
2OBUT_BUTtex	-0.01962270169154015	0.3991957945311021
2OBUT_DLACtex	-0.08676799309742213	0.00018806181867747182
2OBUT_GLYCLTtex	-0.0708721883384033	0.002300234702973714
2OBUT_LLACtex	-0.01962270169154015	0.3991957945311021
2OBUT_PPAtex	-0.01962270169154015	0.3991957945311021
2OBUTt	-0.01962270169154015	0.3991957945311021
2OHE1MT	-0.15923445553464727	5.7963177604174585e-12
2OHE1MT2	-0.15923445553464727	5.7963177604174585e-12
