complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_A4GALT_pc	cplx_MONOMER_A4GALT	protein_A4GALT_pc	A4GALTc	A4GALT	1		ASSUMED MONOMER	protein_A4GALT_pc(1)	pc	40507.870000000024
cplx_MONOMER_AARS1_pc	cplx_MONOMER_AARS1	protein_AARS1_pc	ALATRS	AARS1	1			protein_AARS1_pc(1)	pc	106784.30099999963
cplx_MONOMER_AASDHPPT_pc	cplx_MONOMER_AASDHPPT	protein_AASDHPPT_pc	AASDHPPT	AASDHPPT	1			protein_AASDHPPT_pc(1)	pc	35773.598000000005
cplx_HOMOTETRAMER_ABCA1_pc	cplx_HOMOTETRAMER_ABCA1	protein_ABCA1_pc	PCFLOPt;PSFLOPt;SMFLOPt	ABCA1	4			protein_ABCA1_pc(4)	pc	1017150.9559999881
cplx_MONOMER_ABCA7_pc	cplx_MONOMER_ABCA7	protein_ABCA7_pc	PCFLOPt;PEFLOPt;PSFLOPt;SMFLOPt	ABCA7	1		ASSUMED MONOMER	protein_ABCA7_pc(1)	pc	234341.4049999971
cplx_MONOMER_ABCB1_pc	cplx_MONOMER_ABCB1	protein_ABCB1_pc	PCFLOPt;PEFLOPt;SMFLOPt;PRGNABCte;PRGNSABCte	ABCB1	1		ASSUMED MONOMER	protein_ABCB1_pc(1)	pc	141494.319999999
cplx_MONOMER_ABCB4_pc	cplx_MONOMER_ABCB4	protein_ABCB4_pc	PCFLOPt;PEFLOPt;SMFLOPt	ABCB4	1		ASSUMED MONOMER	protein_ABCB4_pc(1)	pc	141530.84799999898
cplx_HOMODIMER_ABCB6_pc	cplx_HOMODIMER_ABCB6	protein_ABCB6_pc	CPPP1ABCte;CPPP3ABCte;CPPPG3ABCte;FE2PHEMEABCte;HEMATINABCte;PPP9ABCte;UPP1ABCte;UPP3ABCte	ABCB6	2			protein_ABCB6_pc(2)	pc	187783.39399999988
cplx_MONOMER_ABCC1_pc	cplx_MONOMER_ABCC1	protein_ABCC1_pc	GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;23CGAMPABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;SPHS1PABCte;E217BGLCRABCte	ABCC1	1		ASSUMED MONOMER	protein_ABCC1_pc(1)	pc	171585.56999999823
cplx_MONOMER_ABCC4_pc	cplx_MONOMER_ABCC4	protein_ABCC4_pc	CAMPABCte;CGMPABCte;GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;5FTHFABCte;5MTHFABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;CIMPABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LEUKTRB4ABCte;LEUKTRB5ABCte;LEUKTRC4ABCte;LEUKTRC5ABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;PGE1ABCte;PGE2ABCte;PGE3ABCte;PGF1ABCte;PGF2ABCte;PGF3ABCte;URATEABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;BILRUBABCte;CHOLATEGTHABCte;DGCHOGTHABCte;DHEASABCte;E217BGLCRABCte;GCHOGTHABCte;GDCHOGTHABCte;GUDCHOGTHABCte;TCHOGTHABCte;TDCHOGTHABCte;TUDCHOGTHABCte	ABCC4	1		ASSUMED MONOMER	protein_ABCC4_pc(1)	pc	149532.39399999916
