complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_A4galt_pc	cplx_MONOMER_A4galt	protein_A4galt_pc	A4GALTc	A4galt	1		ASSUMED MONOMER	protein_A4galt_pc(1)	pc	41371.64700000002
cplx_MONOMER_Aars1_pc	cplx_MONOMER_Aars1	protein_Aars1_pc	ALATRS	Aars1	1			protein_Aars1_pc(1)	pc	106886.44799999964
cplx_MONOMER_Aasdhppt_pc	cplx_MONOMER_Aasdhppt	protein_Aasdhppt_pc	AASDHPPT	Aasdhppt	1			protein_Aasdhppt_pc(1)	pc	35762.81200000001
cplx_HOMOTETRAMER_Abca1_pc	cplx_HOMOTETRAMER_Abca1	protein_Abca1_pc	PCFLOPt;PSFLOPt;SMFLOPt	Abca1	4			protein_Abca1_pc(4)	pc	1015585.8519999883
cplx_MONOMER_Abca7_pc	cplx_MONOMER_Abca7	protein_Abca7_pc	PCFLOPt;PEFLOPt;PSFLOPt;SMFLOPt	Abca7	1		ASSUMED MONOMER	protein_Abca7_pc(1)	pc	236876.33199999694
cplx_MONOMER_Abcb1a_pc	cplx_MONOMER_Abcb1a	protein_Abcb1a_pc	PCFLOPt;PEFLOPt;SMFLOPt;PRGNABCte;PRGNSABCte	Abcb1a	1		ASSUMED MONOMER	protein_Abcb1a_pc(1)	pc	140660.33499999915
cplx_MONOMER_Abcb1b_pc	cplx_MONOMER_Abcb1b	protein_Abcb1b_pc	PCFLOPt;PEFLOPt;SMFLOPt;PRGNABCte;PRGNSABCte	Abcb1b	1		ASSUMED MONOMER	protein_Abcb1b_pc(1)	pc	140999.47899999912
cplx_MONOMER_Abcb4_pc	cplx_MONOMER_Abcb4	protein_Abcb4_pc	PCFLOPt;PEFLOPt;SMFLOPt	Abcb4	1		ASSUMED MONOMER	protein_Abcb4_pc(1)	pc	140388.73599999907
cplx_HOMODIMER_Abcb6_pc	cplx_HOMODIMER_Abcb6	protein_Abcb6_pc	CPPP1ABCte;CPPP3ABCte;CPPPG3ABCte;FE2PHEMEABCte;HEMATINABCte;PPP9ABCte;UPP1ABCte;UPP3ABCte	Abcb6	2			protein_Abcb6_pc(2)	pc	187544.99999999983
cplx_MONOMER_Abcc1_pc	cplx_MONOMER_Abcc1	protein_Abcc1_pc	GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;23CGAMPABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;SPHS1PABCte;E217BGLCRABCte	Abcc1	1		ASSUMED MONOMER	protein_Abcc1_pc(1)	pc	171181.0329999984
cplx_MONOMER_Abcc4_pc	cplx_MONOMER_Abcc4	protein_Abcc4_pc	CAMPABCte;CGMPABCte;GTHOXABCte;1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;5FTHFABCte;5MTHFABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;CIMPABCte;DOPAGTHABCte;DPAMGTHABCte;GTHNOABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LEUKTRB4ABCte;LEUKTRB5ABCte;LEUKTRC4ABCte;LEUKTRC5ABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;PGE1ABCte;PGE2ABCte;PGE3ABCte;PGF1ABCte;PGF2ABCte;PGF3ABCte;URATEABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;BILRUBABCte;CHOLATEGTHABCte;DGCHOGTHABCte;DHEASABCte;E217BGLCRABCte;GCHOGTHABCte;GDCHOGTHABCte;GUDCHOGTHABCte;TCHOGTHABCte;TDCHOGTHABCte;TUDCHOGTHABCte	Abcc4	1		ASSUMED MONOMER	protein_Abcc4_pc(1)	pc	148894.72399999906
cplx_MONOMER_Abcc5_pc	cplx_MONOMER_Abcc5	protein_Abcc5_pc	CAMPABCte;CGMPABCte;CIMPABCte;SAICAABCte;5FLURAABCte;THGMPABCte;THIMPABCte;THXMPABCte;LLACPHEABCte	Abcc5	1		ASSUMED MONOMER	protein_Abcc5_pc(1)	pc	161138.6519999987
cplx_MONOMER_Abce1_pc	cplx_MONOMER_Abce1	protein_Abce1_pc	NTPA;NTPC;NTPG;NTPU	Abce1	1		ASSUMED MONOMER	protein_Abce1_pc(1)	pc	67322.84400000029
cplx_HOMOTETRAMER_Abcg2_pc	cplx_HOMOTETRAMER_Abcg2	protein_Abcg2_pc	RIBFLVABCte;5FTHFABCte;5MTHFABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;SPHS1PABCte;URATEABCte;5FLURAABCte;DHEASABCte;E217BGLCRABCte	Abcg2	4			protein_Abcg2_pc(4)	pc	291940.9360000007
cplx_HOMOTETRAMER_Abcg3_pc	cplx_HOMOTETRAMER_Abcg3	protein_Abcg3_pc	RIBFLVABCte;5FTHFABCte;5MTHFABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;SPHS1PABCte;URATEABCte;5FLURAABCte;DHEASABCte;E217BGLCRABCte	Abcg3	4			protein_Abcg3_pc(4)	pc	294442.19200000074
cplx_MONOMER_Abhd14b_pc	cplx_MONOMER_Abhd14b	protein_Abhd14b_pc	PROTKDAC	Abhd14b	1		ASSUMED MONOMER	protein_Abhd14b_pc(1)	pc	22446.476999999995
cplx_MONOMER_Abhd16a_pc	cplx_MONOMER_Abhd16a	protein_Abhd16a_pc	PCPLA2;PCOPLA2;PCPPLA2;PEPPLA2;MAGL1;MAGL2;PAPLA2;PEPLA2;PIPLA2;PSPLA2;PGD21GH	Abhd16a	1		ASSUMED MONOMER	protein_Abhd16a_pc(1)	pc	63090.609000000295
cplx_MONOMER_Abhd17b_pc	cplx_MONOMER_Abhd17b	protein_Abhd17b_pc	PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	Abhd17b	1		ASSUMED MONOMER	protein_Abhd17b_pc(1)	pc	32196.469000000016
cplx_MONOMER_Abo_pc	cplx_MONOMER_Abo	protein_Abo_pc	ABO4A;ABO4B;ABO1A;ABO1B;ABO2A;ABO2B;ABO3A;ABO3AB;ABO5A;ABO5B	Abo	1			protein_Abo_pc(1)	pc	38783.63700000004
