NP_476721.1	1.A.1.2.2	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014651.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014652.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014653.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014654.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014655.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014656.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014657.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014658.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014659.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014660.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014661.2	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014662.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014663.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001014664.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_524486.2	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_733029.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_996289.1	1.A.1.3.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_180233.1	1.A.1.4.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_034538.2	1.A.1.5.2	The Voltage-gated Ion Channel (VIC) Superfamily
NP_012442.1	1.A.1.7.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_034737.2	1.A.1.9.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_001095190.1	1.A.1.11.2	The Voltage-gated Ion Channel (VIC) Superfamily
NP_048599.1	1.A.1.12.1	The Voltage-gated Ion Channel (VIC) Superfamily
NP_113796.1	1.A.10.1.1	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
NP_001106655.1	1.A.10.1.2	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
NP_058959.2	1.A.10.1.2	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
NP_000826.2	1.A.10.1.3	The Glutamate-gated Ion Channel (GIC) Family of Neurotransmitter Receptors
NP_776701.1	1.A.12.1.1	The Intracellular Chloride Channel (CLIC) Family
NP_001279.2	1.A.12.1.2	The Intracellular Chloride Channel (CLIC) Family
NP_036260.2	1.A.13.1.2	The Epithelial Chloride Channel (E-ClC) Family
NP_015231.2	1.A.15.1.1	The Non-selective Cation Channel-2 (NSCC2) Family
NP_003253.1	1.A.15.1.6	The Non-selective Cation Channel-2 (NSCC2) Family
NP_011697.1	3.A.8.1.1	The Mitochondrial Protein Translocase (MPT) Family
NP_000211.1	1.A.2.1.1	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_722448.1	1.A.2.1.1	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_722449.2	1.A.2.1.1	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_722450.1	1.A.2.1.1	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_722451.1	1.A.2.1.1	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_000882.1	1.A.2.1.2	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_000881.3	1.A.2.1.3	The Inward Rectifier K<sup>+</sup> Channel (IRK-C) Family
NP_065683.2	3.A.2.2.4	The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily
NP_570855.2	3.A.2.2.4	The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily
NP_570856.2	3.A.2.2.4	The H+- or Na+-translocating F-type, V-type and A-type ATPase (F-ATPase) Superfamily
NP_004322.1	1.A.20.1.2	The BCL2/Adenovirus E1B-interacting Protein 3 (BNip3) Family
NP_001020964.1	1.A.9.4.2	The Neurotransmitter Receptor, Cys loop, Ligand-gated Ion Channel (LIC) Family
NP_620209.1	2.A.18.6.8	The Amino Acid/Auxin Permease (AAAP) Family
NP_565734.1	2.A.71.2.2	The Folate-Biopterin Transporter (FBT) Family
NP_001182.1	1.A.21.1.1	The Bcl-2 (Bcl-2) Family
NP_612815.1	1.A.21.1.1	The Bcl-2 (Bcl-2) Family
AP_004500.1	1.A.22.1.1	The Large Conductance Mechanosensitive Ion Channel (MscL) Family
NP_417749.1	1.A.22.1.1	The Large Conductance Mechanosensitive Ion Channel (MscL) Family
NP_215500.1	1.A.22.1.2	The Large Conductance Mechanosensitive Ion Channel (MscL) Family
NP_335447.1	1.A.22.1.2	The Large Conductance Mechanosensitive Ion Channel (MscL) Family
AP_001114.1	1.A.23.1.1	The Small Conductance Mechanosensitive Ion Channel (MscS) Family
NP_414998.1	1.A.23.1.1	The Small Conductance Mechanosensitive Ion Channel (MscS) Family
AP_003482.1	1.A.23.2.1	The Small Conductance Mechanosensitive Ion Channel (MscS) Family
NP_417399.1	1.A.23.2.1	The Small Conductance Mechanosensitive Ion Channel (MscS) Family
NP_036699.1	1.A.24.1.1	The Gap Junction-forming Connexin (Connexin) Family
NP_524824.1	1.A.25.1.3	The Gap Junction-forming Innexin (Innexin) Family
NP_727147.1	1.A.25.1.3	The Gap Junction-forming Innexin (Innexin) Family
NP_001097038.2	1.A.25.1.4	The Gap Junction-forming Innexin (Innexin) Family
NP_001138222.1	1.A.25.1.4	The Gap Junction-forming Innexin (Innexin) Family
NP_523425.2	1.A.25.1.4	The Gap Junction-forming Innexin (Innexin) Family
NP_608410.2	1.A.25.1.4	The Gap Junction-forming Innexin (Innexin) Family
NP_728361.1	1.A.25.1.4	The Gap Junction-forming Innexin (Innexin) Family
NP_032583.1	1.A.27.1.2	The Phospholemman (PLM) Family
NP_001120961.1	1.A.27.2.1	The Phospholemman (PLM) Family
NP_001671.2	1.A.27.2.1	The Phospholemman (PLM) Family
NP_067614.1	1.A.27.2.1	The Phospholemman (PLM) Family
NP_001103740.1	1.A.28.1.1	The Urea Transporter (UT) Family
NP_062220.2	1.A.28.1.1	The Urea Transporter (UT) Family
NP_808877.2	1.A.28.1.1	The Urea Transporter (UT) Family
NP_252052.1	1.A.29.1.1	The Urea/Amide Channel (UAC) Family
NP_206871.1	1.A.29.1.3	The Urea/Amide Channel (UAC) Family
NP_112308.1	1.A.3.2.1	The Ryanodine-Inositol 1,4,5-triphosphate Receptor Ca<sup>2+</sup> Channel (RIR-CaC) Family
NP_001162804.1	1.A.31.1.1	The Annexin (Annexin) Family
NP_476615.1	1.A.31.1.1	The Annexin (Annexin) Family
NP_195870.1	1.A.33.1.1	The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family
AP_000678.1	1.A.33.1.2	The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family
NP_414555.1	1.A.33.1.2	The Cation Channel-forming Heat Shock Protein-70 (Hsp70) Family
NP_476768.1	1.A.4.1.1	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_036165.1	1.A.4.1.2	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_114188.1	1.A.4.2.1	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_001076126.1	1.A.4.2.3	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_035836.2	1.A.4.2.4	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_076460.1	1.A.4.2.5	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_500372.1	1.A.4.3.1	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_014730.2	1.A.4.4.1	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_060142.3	1.A.4.5.1	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_002411.3	1.A.4.5.2	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_055370.1	1.A.4.5.3	The Transient Receptor Potential Ca2+/Cation Channel (TRP-CC) Family
NP_000287.3	1.A.5.1.1	The Polycystin Cation Channel (PCC) Family
NP_001009944.2	1.A.5.1.1	The Polycystin Cation Channel (PCC) Family
NP_001029.1	1.A.6.1.1	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_001153047.1	1.A.6.1.1	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_001153048.1	1.A.6.1.1	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_000327.2	1.A.6.1.1	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_001030.2	1.A.6.1.1	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_077068.1	1.A.6.1.2	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_001029186.1	1.A.6.1.2	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_037024.2	1.A.6.1.2	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
NP_775158.1	1.A.6.1.2	The Epithelial Na<sup>+</sup> Channel (ENaC) Family
