Entry	Entry Name	Protein	Protein Names	Gene Names (Primary)	Length	Mass
A0A075B6I0	LV861_HUMAN	LV861	Immunoglobulin lambda variable 8-61	IGLV8-61	122	12814
A0A075B6I9	LV746_HUMAN	LV746	Immunoglobulin lambda variable 7-46	IGLV7-46	117	12468
A0A075B6J9	LV218_HUMAN	LV218	Immunoglobulin lambda variable 2-18	IGLV2-18	118	12412
A0A075B6K4	LV310_HUMAN	LV310	Immunoglobulin lambda variable 3-10	IGLV3-10	115	12441
A0A075B6K5	LV39_HUMAN	LV39	Immunoglobulin lambda variable 3-9	IGLV3-9	115	12332
A0A075B6R2	HV404_HUMAN	HV404	Immunoglobulin heavy variable 4-4	IGHV4-4	117	12848
A0A075B6S5	KV127_HUMAN	KV127	Immunoglobulin kappa variable 1-27	IGKV1-27	117	12712
A0A075B6S9	KV137_HUMAN	KV137	Probable non-functional immunoglobulinn kappa variable 1-37	IGKV1-37	117	12688
A0A087WSY6	KVD15_HUMAN	KVD15	Immunoglobulin kappa variable 3D-15	IGKV3D-15	115	12534
A0A0A0MRZ8	KVD11_HUMAN	KVD11	Immunoglobulin kappa variable 3D-11	IGKV3D-11	115	12625
A0A0A0MS15	HV349_HUMAN	HV349	Immunoglobulin heavy variable 3-49	IGHV3-49	119	13056
A0A0A0MT36	KVD21_HUMAN	KVD21	Immunoglobulin kappa variable 6D-21	IGKV6D-21	114	12340
A0A0B4J1U3	LV136_HUMAN	LV136	Immunoglobulin lambda variable 1-36	IGLV1-36	117	12478
A0A0B4J1U7	HV601_HUMAN	HV601	Immunoglobulin heavy variable 6-1	IGHV6-1	121	13481
A0A0B4J1V0	HV315_HUMAN	HV315	Immunoglobulin heavy variable 3-15	IGHV3-15	119	12926
A0A0B4J1V2	HV226_HUMAN	HV226	Immunoglobulin heavy variable 2-26	IGHV2-26	119	13182
A0A0B4J1X5	HV374_HUMAN	HV374	Immunoglobulin heavy variable 3-74	IGHV3-74	117	12840
A0A0B4J1Y8	LV949_HUMAN	LV949	Immunoglobulin lambda variable 9-49	IGLV9-49	123	13024
A0A0B4J1Y9	HV372_HUMAN	HV372	Immunoglobulin heavy variable 3-72	IGHV3-72	119	13203
A0A0B4J2D9	KVD13_HUMAN	KVD13	Immunoglobulin kappa variable 1D-13	IGKV1D-13	117	12569
A0A0C4DH24	KV621_HUMAN	KV621	Immunoglobulin kappa variable 6-21	IGKV6-21	114	12430
A0A0C4DH25	KVD20_HUMAN	KVD20	Immunoglobulin kappa variable 3D-20	IGKV3D-20	116	12515
A0A0C4DH34	HV428_HUMAN	HV428	Immunoglobulin heavy variable 4-28	IGHV4-28	117	13124
A0A0C4DH36	HV338_HUMAN	HV338	Probable non-functional immunoglobulin heavy variable 3-38	IGHV3-38	116	12759
A0A0C4DH38	HV551_HUMAN	HV551	Immunoglobulin heavy variable 5-51	IGHV5-51	117	12675
A0A0C4DH67	KV108_HUMAN	KV108	Immunoglobulin kappa variable 1-8	IGKV1-8	115	12537
A0A0C4DH73	KV112_HUMAN	KV112	Immunoglobulin kappa variable 1-12	IGKV1-12	117	12645
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	UBA6	1052	117970
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	ESYT2	921	102357
A0M8Q6	IGLC7_HUMAN	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	IGLC7	106	11254
