genes	uniprot	ncbigene	hgnc.symbol	proteomic evidence (#studies)	proteomic evidence (pubmed)	references	notes
G6PD	P11413	2539	G6PD	17	pubmed:16861337;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479	pubmed:3126064;pubmed:5643703;pubmed:5666113;pubmed:6696761;pubmed:743300;pubmed:7857286;pubmed:16888458;pubmed:19997026
PGD	P52209	5226	PGD	17	pubmed:16861337;pubmed:18614565;pubmed:19778645;pubmed:24555563;pubmed:26474164;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479	pubmed:521257;pubmed:3932573;pubmed:3994686
CPT1A	P50416	1374	CPT1A	14	pubmed:16861337;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37942280;pubmed:38260479	pubmed:1618773;pubmed:2039446;pubmed:38513237
ACSS2	Q9NR19	55902	ACSS2	2	pubmed:30327373;pubmed:38260479	pubmed:4379089;pubmed:6115779;pubmed:38513237
SLC22A16	Q86VW1	85413	SLC22A16	0		pubmed:35108516;pubmed:38513237
SLC22A4	Q9H015	6583	SLC22A4	0		pubmed:15588940;pubmed:15795384
VCP	P55072	7415	VCP	22	pubmed:12362340;pubmed:14963112;pubmed:16861337;pubmed:18614565;pubmed:22954596;pubmed:23781972;pubmed:24555563;pubmed:26271157;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
ATP6V1A	P38606	523	ATP6V1A	21	pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
PRKAR1A	P10644	5573	PRKAR1A	21	pubmed:12362340;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
PRKACA	P17612	5566	PRKACA	20	pubmed:12362340;pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26078478;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479	pubmed:19758581;pubmed:208524;pubmed:216002
PRMT5	O14744	10419	PRMT5	20	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479	pubmed:30312994
SKP1	P63208	6500	SKP1	19	pubmed:14963112;pubmed:16861337;pubmed:18399644;pubmed:18494517;pubmed:18614565;pubmed:22157974;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
ATP6V1B2	P21281	526	ATP6V1B2	18	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
CAND1	Q86VP6	55832	CAND1	18	pubmed:16861337;pubmed:18614565;pubmed:23781972;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
CUL1	Q13616	8454	CUL1	18	pubmed:16861337;pubmed:18494517;pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
PDIA3	P30101	2923	PDIA3	16	pubmed:12362340;pubmed:16861337;pubmed:19778645;pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479
ATP6V1E1	P36543	529	ATP6V1E1	15	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38260479
ATP6V1D	Q9Y5K8	51382	ATP6V1D	13	pubmed:18614565;pubmed:19778645;pubmed:26474164;pubmed:27006477;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38260479
ATP6V1G1	O75348	9550	ATP6V1G1	13	pubmed:18494517;pubmed:18614565;pubmed:22954596;pubmed:24555563;pubmed:26474164;pubmed:27006477;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:37760001;pubmed:38260479
ATP6V1H	Q9UI12	51606	ATP6V1H	11	pubmed:18614565;pubmed:24555563;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33341364;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:38260479
RBX1	P62877	9978	RBX1	11	pubmed:18494517;pubmed:18614565;pubmed:24555563;pubmed:26474164;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33103907;pubmed:33341364;pubmed:35858567;pubmed:38260479
VPS4A	Q9UN37	27183	VPS4A	11	pubmed:18494517;pubmed:18614565;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:35858567;pubmed:36346805;pubmed:37760001;pubmed:37942280;pubmed:38260479	pubmed:33186543
ATP6V0A1	Q93050	535	ATP6V0A1	10	pubmed:24555563;pubmed:26078478;pubmed:27777340;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:35858567;pubmed:38260479	pubmed:33341364
PRKACB	P22694	5567	PRKACB	8	pubmed:18614565;pubmed:19778645;pubmed:22954596;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38260479
ATP6V1F	Q16864	9296	ATP6V1F	7	pubmed:18614565;pubmed:26474164;pubmed:27777340;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38260479
ATP6AP1	Q15904	537	ATP6AP1	6	pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:31552303;pubmed:33806028;pubmed:38260479	pubmed:33341364;pubmed:7796469
STK11	Q15831	6794	STK11	6	pubmed:22954596;pubmed:28263177;pubmed:28689405;pubmed:30327373;pubmed:33806028;pubmed:38260479
PRKAR2B	P31323	5577	PRKAR2B	5	pubmed:18614565;pubmed:28689405;pubmed:30327373;pubmed:35858567;pubmed:38260479
ATP6V0C	P27449	527	ATP6V0C	4	pubmed:16861337;pubmed:28263177;pubmed:28689405;pubmed:38260479
ATP6V1C1	P21283	528	ATP6V1C1	4	pubmed:26474164;pubmed:30327373;pubmed:35858567;pubmed:38260479
PRKAR1B	P31321	5575	PRKAR1B	3	pubmed:28263177;pubmed:28689405;pubmed:30327373
PIK3C3	Q8NEB9	5289	PIK3C3	2	pubmed:28689405;pubmed:38260479	pubmed:20404042
WDR77	Q9BQA1	79084	WDR77
CLNS1A	P54105	1207	CLNS1A
BECN1	Q14457	8678	BECN1
ATG14	Q6ZNE5	22863	ATG14
PIK3R4	Q99570	30849	PIK3R4
NEDD8	Q15843	4738	NEDD8			pubmed:12740388
UBA3	Q8TBC4	9039	UBA3			pubmed:12740388
NAE1	Q13564	8883	NAE1			pubmed:12740388
UBE2M	P61081	9040	UBE2M
UBXN1	Q04323	51035	UBXN1
FAF1	Q9UNN5	11124	FAF1
FAF2	Q96CS3	23197	FAF2
PLAA	Q9Y263	9373	PLAA
VCPIP1	Q96JH7	80124	VCPIP1
UBXN6	Q9BZV1	80700	UBXN6
NPLOC4	Q8TAT6	55666	NPLOC4
UFD1	Q92890	7353	UFD1
NSFL1C	Q9UNZ2	55968	NSFL1C
VPS4B	O75351	9525	VPS4B
DERL1	Q9BUN8	79139	DERL1
CDC37	Q16543	11140	CDC37
MAPK14	Q16539	1432	MAPK14			pubmed:25757360
PRKAR2A	P13861	5576	PRKAR2A
ATP6V0D1	P61421	9114	ATP6V0D1
ACTG2	P63267	72	ACTG2
CAB39L	Q9H9S4	81617	CAB39L
STRADB	Q9C0K7	55437	STRADB
CAB39	Q9Y376	51719	CAB39
UBXN7	O94888	26043	UBXN7
ATP6AP2	O75787	10159	ATP6AP2
CUL4A	Q13619	8451	CUL4A
CUL4B	Q13620	8450	CUL4B
DDB1	Q16531	1642	DDB1
FBXO4	Q9UKT5	26272	FBXO4
FBXO7	Q9Y3I1	25793	FBXO7
CUL3	Q13618	8452	CUL3
KLHL18	O94889	23276	KLHL18
CUL2	Q13617	8453	CUL2
ELOC	Q15369	6921	ELOC
ELOB	Q15370	6923	ELOB
DCAF11	Q8TEB1	80344	DCAF11
DCAF6	Q58WW2	55827	DCAF6
FBXL20	Q96IG2	84961	FBXL20
DCAF7	P61962	10238	"DCAF7	"
MDH2	P40926	4191	MDH2
IDH2	P48735	3418	IDH2
SLC16A9	Q7RTY1	220963	SLC16A9			pubmed:38513237
FLVCR1	Q9Y5Y0	28982	FLVCR1			pubmed:38513237;pubmed:15369674;pubmed:36395887
HAL	P42357	3034	HAL
DPYD	Q12882	1806	DPYD
SLK	Q9H2G2	9748	SLK
CD36	P16671	948	CD36	6	pubmed:28263177;pubmed:28689405;pubmed:31552303;pubmed:33806028;pubmed:37942280;pubmed:38260479	pubmed:38326223;pubmed:1382721
ACER2	Q5QJU3	340485	ACER2	0		pubmed:20207939;pubmed:35886939;pubmed:29401619;pubmed:37522842
ACER3	Q9NUN7	55331	ACER3			pubmed:20207939;pubmed:35886939;pubmed:29401619
YES1	P07947	7525	YES1
UBE2V1	Q13404	387522;7335	UBE2V1
UBE2V2	Q15819	7336	UBE2V2
UBE2N	P61088	7334	UBE2N
PRPS1L1	P21108	221823	PRPS1L1
GALK2	Q01415	2585	GALK2
CRYL1	Q9Y2S2	51084	CRYL1
CRPPA	A4D126	729920	CRPPA			pubmed:31375477
TRIM58	Q8NG06	25893	TRIM58			pubmed:25241935
KYAT1	Q16773	883	KYAT1			pubmed:16099471
