	genes	mim	mim.phenotype	hgnc.symbol	type	ncbigene	ensembl	phenotype	cyto.location	morbid.symbol	chromosome	ensemble	mgi	title	title.symbol	mim.all	mim.phenotype.title	mim.phenotype.title.symbol
0	A4GALT	607922	111400	A4GALT	gene	53947	ENSG00000128274	[Blood group, P1Pk system, p phenotype], 111400 (3);[Blood group, P1Pk system, P(2) phenotype], 111400 (3);NOR polyagglutination syndrome, 111400 (3)	22q13.2	A4GALT	chr22	ENSG00000128274	3512453	ALPHA-1,4-GALACTOSYLTRANSFERASE	A4GALT	111400;607922	BLOOD GROUP, P1PK SYSTEM	
1	AARS1	601065	613287	AARS1	gene	16	ENSG00000090861	Charcot-Marie-Tooth disease, axonal, type 2N, 613287 (3)	16q22.1	AARS1	chr16	ENSG00000090861	2384560	ALANYL-tRNA SYNTHETASE 1	AARS1	601065;613287	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2N	CMT2N
2	AARS1	601065	616339	AARS1	gene	16	ENSG00000090861	Developmental and epileptic encephalopathy 29, 616339 (3)	16q22.1	AARS1	chr16	ENSG00000090861	2384560	ALANYL-tRNA SYNTHETASE 1	AARS1	601065;616339	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 29	DEE29
3	AARS1	601065	619661	AARS1	gene	16	ENSG00000090861	?Leukoencephalopathy, hereditary diffuse, with spheroids 2, 619661 (3)	16q22.1	AARS1	chr16	ENSG00000090861	2384560	ALANYL-tRNA SYNTHETASE 1	AARS1	601065;619661	LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS 2	HDLS2
4	AARS1	601065	619691	AARS1	gene	16	ENSG00000090861	Trichothiodystrophy 8, nonphotosensitive, 619691 (3)	16q22.1	AARS1	chr16	ENSG00000090861	2384560	ALANYL-tRNA SYNTHETASE 1	AARS1	601065;619691	TRICHOTHIODYSTROPHY 8, NONPHOTOSENSITIVE	TTD8
5	AASDHPPT	607756		AASDHPPT	gene	60496	ENSG00000149313				chr11	ENSG00000149313	1914868	ALPHA-AMINOADIPATE SEMIALDEHYDE DEHYDROGENASE-PHOSPHOPANTETHEINYL TRANSFERASE	AASDHPPT	607756		
6	ABCA1	600046	205400	ABCA1	gene	19	ENSG00000165029	Tangier disease, 205400 (3)	9q31.1	ABCA1	chr9	ENSG00000165029	99607	ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 1	ABCA1	205400;600046	TANGIER DISEASE	TGD
7	ABCA1	600046	604091	ABCA1	gene	19	ENSG00000165029	HDL deficiency, familial, 1, 604091 (3)	9q31.1	ABCA1	chr9	ENSG00000165029	99607	ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 1	ABCA1	600046;604091	HYPOALPHALIPOPROTEINEMIA, PRIMARY, 1	
8	ABCA7	605414	608907	ABCA7	gene	10347	ENSG00000064687	{Alzheimer disease 9, susceptibility to}, 608907 (3)	19p13.3	ABCA7	chr19	ENSG00000064687	1351646	ATP-BINDING CASSETTE, SUBFAMILY A, MEMBER 7	ABCA7	605414;608907	ALZHEIMER DISEASE 9, SUSCEPTIBILITY TO	AD9
9	ABCB1	171050	120080	ABCB1	gene	5243	ENSG00000085563	{Colchicine resistance}, 120080 (3)	7q21.12	ABCB1	chr7	ENSG00000085563	97568;97570	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 1	ABCB1	120080;171050	COLCHICINE RESISTANCE	
10	ABCB1	171050	612244	ABCB1	gene	5243	ENSG00000085563	{Inflammatory bowel disease 13}, 612244 (3)	7q21.12	ABCB1	chr7	ENSG00000085563	97568;97570	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 1	ABCB1	171050;612244	INFLAMMATORY BOWEL DISEASE 13	IBD13
11	ABCB4	171060	600803	ABCB4	gene	5244	ENSG00000005471	Gallbladder disease 1, 600803 (3)	7q21.12	ABCB4	chr7	ENSG00000005471	97569	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 4	ABCB4	171060;600803	GALLBLADDER DISEASE 1	GBD1
12	ABCB4	171060	602347	ABCB4	gene	5244	ENSG00000005471	Cholestasis, progressive familial intrahepatic 3, 602347 (3)	7q21.12	ABCB4	chr7	ENSG00000005471	97569	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 4	ABCB4	171060;602347	CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 3	PFIC3
13	ABCB4	171060	614972	ABCB4	gene	5244	ENSG00000005471	Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3)	7q21.12	ABCB4	chr7	ENSG00000005471	97569	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 4	ABCB4	171060;614972	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3	ICP3
14	ABCB6	605452	111600	ABCB6	gene	10058	ENSG00000115657	[Blood group, Langereis system], 111600 (3)	2q35	ABCB6	chr2	ENSG00000115657	1921354	ATP-BINDING CASSETTE, SUBFAMILY B, MEMBER 6	ABCB6	111600;605452	BLOOD GROUP, LANGEREIS SYSTEM	LAN
