genes	uniprot	ncbigene	hgnc.symbol	notes
ABCC10	Q5T3U5	89845	ABCC10	evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY1	Q08828	107	ADCY1	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY3	O60266	109	ADCY3	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY4	Q8NFM4	196883	ADCY4	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY5	O95622	111	ADCY5	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY6	O43306	112	ADCY6	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY7	P51828	113	ADCY7	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY8	P40145	114	ADCY8	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ADCY9	O60503	115	ADCY9	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
AGPAT2	O15120	10555	AGPAT2	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
AGPAT5	Q9NUQ2	55326	AGPAT5	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ALDH1A2	O94788	8854	ALDH1A2	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
AMD1	P17707	262	AMD1	no proteomic evidence.
AOX1	Q06278	316	AOX1	no proteomic evidence.
ATP1B4	Q9UN42	23439	ATP1B4	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
CDS1	Q92903	1040	CDS1	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
CEPT1	Q9Y6K0	10390	CEPT1	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
CHKA	P35790	1119	CHKA	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
CHKB	Q9Y259	1120	CHKB	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
CHPT1	Q8WUD6	56994	CHPT1	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
CLC	Q05315	1178	CLC	Evidence indicates other enzymes are present in erythrocytes and responsible for reactions. Galectin-10 does not have enzyamtic activity
COMTD1	Q86VU5	118881	COMTD1	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
CPOX	P36551	1371	CPOX	Coproporphyrinogen oxidase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria. No evidence found supporting activity in cytosol.
CPT2	P23786	1376	CPT2	evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKB	Q9Y6T7	1607	DGKB	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKD	Q16760	8527	DGKD	evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKE	P52429	8526	DGKE	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKG	P49619	1608	DGKG	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKH	Q86XP1	160851	DGKH	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKI	O75912	9162	DGKI	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKQ	P52824	1609	DGKQ	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
DGKZ	Q13574	8525	DGKZ	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ENPP1	P22413	5167	ENPP1	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
ETNK1	Q9HBU6	55500	ETNK1	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
ETNK2	Q9NVF9	55224	ETNK2	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
FBP1	P09467	2203	FBP1	no proteomic evidence.
FBP2	O00757	8789	FBP2	no proteomic evidence.
FECH	P22830	2235	FECH	Ferrochelatase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria. No evidence found supporting activity in cytosol.
GK	P32189	2710	GK	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
GK2	Q14410	2712	GK2	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
GK3	Q14409	2713	GK3	pseudogene
GPAM	Q9HCL2	57678	GPAM	no proteomic evidence.
GPAT4	Q86UL3	137964	GPAT4	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
GSTA2	P09210	2939	GSTA2	evidence indicates other enzymes are present in erythrocytes and responsible for reactions
