	genes	mim	type	ncbigene	hgnc.symbol	ensembl	chromosome	phenotypes	mgi
431	ABCC4	605250	gene	10257	ABCC4	ENSG00000125257	chr13		MGI:2443111
331	ABCG2	603756	gene	9429	ABCG2	ENSG00000118777	chr4	[Junior blood group system], 614490 (3)	MGI:1347061;MGI:1351624
332	ABCG2	603756	gene	9429	ABCG2	ENSG00000118777	chr4	[Uric acid concentration, serum, QTL1], 138900 (3)	MGI:1347061;MGI:1351624
330	ABCG2	138900	phenotype						
333	ABCG2	614490	phenotype						
342	ACP1	171500	gene	52	ACP1	ENSG00000143727	chr2		MGI:87881
491	ACSL1	152425	gene	2180	ACSL1	ENSG00000151726	chr4		MGI:102797
344	ADA	608958	gene	100	ADA	ENSG00000196839	chr20	Adenosine deaminase deficiency, partial, 102700 (3)	MGI:87916
345	ADA	608958	gene	100	ADA	ENSG00000196839	chr20	Severe combined immunodeficiency due to ADA deficiency, 102700 (3)	MGI:87916
343	ADA	102700	phenotype						
350	ADCY1	103072	gene	107	ADCY1	ENSG00000164742	chr7	?Deafness, autosomal recessive 44, 610154 (3)	MGI:99677
351	ADCY1	610154	phenotype						
362	ADCY2	103071	gene	108	ADCY2	ENSG00000078295	chr5		MGI:99676
364	ADCY3	600291	gene	109	ADCY3	ENSG00000138031	chr2	{Obesity, susceptibility to, BMIQ19}, 617885 (3)	MGI:99675
365	ADCY3	601665	phenotype						
366	ADCY3	617885	phenotype						
363	ADCY4	600292	gene	196883	ADCY4	ENSG00000129467	chr14		MGI:99674
354	ADCY5	600293	gene	111	ADCY5	ENSG00000173175	chr3	Dyskinesia with orofacial involvement, autosomal dominant, 606703 (3)	MGI:99673
355	ADCY5	600293	gene	111	ADCY5	ENSG00000173175	chr3	Dyskinesia with orofacial involvement, autosomal recessive, 619647 (3)	MGI:99673
356	ADCY5	600293	gene	111	ADCY5	ENSG00000173175	chr3	Neurodevelopmental disorder with hyperkinetic movements and dyskinesia, 619651 (3)	MGI:99673
357	ADCY5	606703	phenotype						
358	ADCY5	619647	phenotype						
359	ADCY5	619651	phenotype						
360	ADCY6	600294	gene	112	ADCY6	ENSG00000174233	chr12	Lethal congenital contracture syndrome 8, 616287 (3)	MGI:87917
361	ADCY6	616287	phenotype						
353	ADCY7	600385	gene	113	ADCY7	ENSG00000121281	chr16		MGI:102891
367	ADCY8	103070	gene	114	ADCY8	ENSG00000155897	chr8		MGI:1341110
352	ADCY9	603302	gene	115	ADCY9	ENSG00000162104	chr16		MGI:108450
9	ADI1	613400	gene	55256	ADI1	ENSG00000182551	chr2		MGI:2144929
368	ADK	102750	gene	132	ADK	ENSG00000156110	chr10	Hypermethioninemia due to adenosine kinase deficiency, 614300 (3)	MGI:87930
369	ADK	614300	phenotype						
377	AGPAT1	603099	gene	10554	AGPAT1	ENSG00000204310	chr6		MGI:1932075
375	AGPAT2	603100	gene	10555	AGPAT2	ENSG00000169692	chr9	Lipodystrophy, congenital generalized, type 1, 608594 (3)	MGI:1914762
376	AGPAT2	608594	phenotype						
379	AGPAT3	614794	gene	56894	AGPAT3	ENSG00000160216	chr21		MGI:1336186
374	AGPAT4	614795	gene	56895	AGPAT4	ENSG00000026652	chr6		MGI:1915512
378	AGPAT5	614796	gene	55326	AGPAT5	ENSG00000155189	chr8		MGI:1196345
381	AHCY	180960	gene	191	AHCY	ENSG00000101444	chr20	Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752 (3)	MGI:3643647;MGI:87968
382	AHCY	613752	phenotype						
347	AK1	103000	gene	203	AK1	ENSG00000106992	chr9	Hemolytic anemia due to adenylate kinase deficiency, 612631 (3)	MGI:87977
348	AK1	612631	phenotype						
37	AKR1A1	103830	gene	10327	AKR1A1	ENSG00000117448	chr1		MGI:1929955
43	AKR1B1	103880	gene	231	AKR1B1	ENSG00000085662	chr7		MGI:1353494
7	AKR7A2	603418	gene	8574	AKR7A2	ENSG00000053371	chr1		MGI:107796
297	ALAD	125270	gene	210	ALAD	ENSG00000148218	chr9	Porphyria, acute hepatic, 612740 (3)	MGI:96853
298	ALAD	125270	gene	210	ALAD	ENSG00000148218	chr9	{Lead poisoning, susceptibility to}, 612740 (3)	MGI:96853
299	ALAD	612740	phenotype						
