genes	protein	compartment	reactions	uniprot
A4GALT	protein_A4GALT	c	A4GALTc	Q9NPC4
AARS1	protein_AARS1	c	ALATRS	P49588
AASDHPPT	protein_AASDHPPT	c	AASDHPPT	Q9NRN7
ABCA1	protein_ABCA1	pm	PCFLOPt;PSFLOPt;SMFLOPt	O95477
ABCA7	protein_ABCA7	pm	PCFLOPt;PEFLOPt;PSFLOPt;SMFLOPt	Q8IZY2
ABCB1	protein_ABCB1	pm	PCFLOPt;PEFLOPt;PRGNABCte;PRGNSABCte;SMFLOPt	P08183
ABCB4	protein_ABCB4	pm	PCFLOPt;PEFLOPt;SMFLOPt	P21439
ABCB6	protein_ABCB6	pm	CPPP1ABCte;CPPP3ABCte;CPPPG3ABCte;FE2PHEMEABCte;HEMATINABCte;PPP9ABCte;UPP1ABCte;UPP3ABCte	Q9NP58
ABCC1	protein_ABCC1	pm	1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;23CGAMPABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;DOPAGTHABCte;DPAMGTHABCte;E217BGLCRABCte;GTHNOABCte;GTHOXABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;SPHS1PABCte	P33527
ABCC4	protein_ABCC4	pm	1SGTH2OHE1ABCte;1SGTH2OHE2ABCte;2SGTH4OHE1ABCte;2SGTH4OHE2ABCte;4GTH56DHIABCte;4SGTH2OHE1ABCte;4SGTH2OHE2ABCte;56DHIGTHABCte;5FLURAABCte;5FTHFABCte;5MTHFABCte;ADRNLGTHABCte;ARSSELDIGTHABCte;BILRUBABCte;CAMPABCte;CGMPABCte;CHOLATEGTHABCte;CIMPABCte;DGCHOGTHABCte;DHEASABCte;DOPAGTHABCte;DPAMGTHABCte;E217BGLCRABCte;GCHOGTHABCte;GDCHOGTHABCte;GTHNOABCte;GTHOXABCte;GUDCHOGTHABCte;LADRNCHRGTHABCte;LDPCHRGTHABCte;LEUKTRB4ABCte;LEUKTRB5ABCte;LEUKTRC4ABCte;LEUKTRC5ABCte;LNRPPHRCHRGTHABCte;NRPPHRGTHABCte;PGA1GTHABC;PGA2GTHABC;PGA3GTHABC;PGE1ABCte;PGE2ABCte;PGE3ABCte;PGF1ABCte;PGF2ABCte;PGF3ABCte;TCHOGTHABCte;TDCHOGTHABCte;THGMPABCte;THIMPABCte;THXMPABCte;TUDCHOGTHABCte;URATEABCte	O15439
ABCC5	protein_ABCC5	pm	5FLURAABCte;CAMPABCte;CGMPABCte;CIMPABCte;LLACPHEABCte;SAICAABCte;THGMPABCte;THIMPABCte;THXMPABCte	O15440
ABCE1	protein_ABCE1	c	NTPA;NTPC;NTPG;NTPU	P61221
ABCG2	protein_ABCG2	pm	5FLURAABCte;5FTHFABCte;5MTHFABCte;DHEASABCte;E217BGLCRABCte;FE2PHEMEABCte;HEMATINABCte;INDSABCte;PPP9ABCte;RIBFLVABCte;SPHS1PABCte;URATEABCte	Q9UNQ0
ABHD14B	protein_ABHD14B	c	PROTKDAC	Q96IU4
ABHD16A	protein_ABHD16A	c	MAGL1;MAGL2;PAPLA2;PCOPLA2;PCPLA2;PCPPLA2;PEPLA2;PEPPLA2;PGD21GH;PIPLA2;PSPLA2	O95870
ABHD17B	protein_ABHD17B	c	PROTCSAE_14_0;PROTCSAE_16_0;PROTCSAE_18_0	Q5VST6
ABO	protein_ABO	c	ABO1A;ABO1B;ABO2A;ABO2B;ABO3A;ABO3AB;ABO4A;ABO4B;ABO5A;ABO5B	P16442
ACAT2	protein_ACAT2	c	ACACT1	Q9BWD1
ACER2	protein_ACER2	c	ACER	Q5QJU3
ACER3	protein_ACER3	c	ACER	Q9NUN7
ACHE	protein_ACHE	pm	ACHEe	P22303
ACLY	protein_ACLY	c	ACITL	P53396
ACO1	protein_ACO1	c	ACONT	P21399
ACOT7	protein_ACOT7	c	FACOAE_10_0;FACOAE_11_0;FACOAE_12_0;FACOAE_13_0;FACOAE_14_0;FACOAE_14_5Z;FACOAE_14_7Z;FACOAE_14_9Z;FACOAE_15_0;FACOAE_16_0;FACOAE_16_7Z;FACOAE_16_9Z;FACOAE_17_0;FACOAE_17_10Z;FACOAE_17_9Z;FACOAE_18_0;FACOAE_18_11Z;FACOAE_18_13Z;FACOAE_18_6Z9Z;FACOAE_18_6Z9Z12Z;FACOAE_18_6Z9Z12Z15Z;FACOAE_18_7Z;FACOAE_18_9E;FACOAE_18_9Z;FACOAE_18_9Z12Z;FACOAE_18_9Z12Z15Z;FACOAE_19_0;FACOAE_20_0;FACOAE_20_11Z;FACOAE_20_11Z14Z;FACOAE_20_11Z14Z17Z;FACOAE_20_13Z;FACOAE_20_5Z8Z11Z;FACOAE_20_5Z8Z11Z14Z;FACOAE_20_5Z8Z11Z14Z17Z;FACOAE_20_8Z11Z;FACOAE_20_8Z11Z14Z;FACOAE_20_8Z11Z14Z17Z;FACOAE_20_9Z;FACOAE_8_0;FACOAE_9_0	O00154
ACP1	protein_ACP1	c	FMNPH;PROTKRU5PPP;PROTYPP;THMMPP	P24666
ACSL1	protein_ACSL1	c	FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	P33121
ACSL3	protein_ACSL3	c	FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	O95573
ACSL4	protein_ACSL4	c	FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	O60488
ACSL6	protein_ACSL6	c	FACOAL_12_0;FACOAL_13_0;FACOAL_14_0;FACOAL_14_5Z;FACOAL_14_7Z;FACOAL_14_9Z;FACOAL_15_0;FACOAL_16_0;FACOAL_16_7Z;FACOAL_16_9Z;FACOAL_17_0;FACOAL_17_10Z;FACOAL_17_9Z;FACOAL_18_0;FACOAL_18_11Z;FACOAL_18_13Z;FACOAL_18_6Z9Z;FACOAL_18_6Z9Z12Z;FACOAL_18_6Z9Z12Z15Z;FACOAL_18_7Z;FACOAL_18_9E;FACOAL_18_9Z;FACOAL_18_9Z12Z;FACOAL_18_9Z12Z15Z;FACOAL_19_0;FACOAL_20_0;FACOAL_20_11Z;FACOAL_20_11Z14Z;FACOAL_20_11Z14Z17Z;FACOAL_20_13Z;FACOAL_20_5Z8Z11Z;FACOAL_20_5Z8Z11Z14Z;FACOAL_20_5Z8Z11Z14Z17Z;FACOAL_20_8Z11Z;FACOAL_20_8Z11Z14Z;FACOAL_20_8Z11Z14Z17Z;FACOAL_20_9Z;FACOAL_21_0;FACOAL_22_0;FACOAL_22_10Z13Z16Z;FACOAL_22_10Z13Z16Z19Z;FACOAL_22_11Z;FACOAL_22_13Z;FACOAL_22_13Z16Z;FACOAL_22_13Z16Z19Z;FACOAL_22_4Z7Z10Z13Z16Z;FACOAL_22_4Z7Z10Z13Z16Z19Z;FACOAL_22_7Z10Z13Z16Z;FACOAL_22_7Z10Z13Z16Z19Z;FACOAL_23_0;FACOAL_24_0;FACOAL_24_12Z15Z18Z21Z;FACOAL_24_15Z;FACOAL_24_6Z9Z12Z15Z18Z;FACOAL_24_6Z9Z12Z15Z18Z21Z;FACOAL_24_9Z12Z15Z18Z;FACOAL_24_9Z12Z15Z18Z21Z;FACOAL_26_0;FACOAL_26_17Z	Q9UKU0
ACSS2	protein_ACSS2	c	FACOAL_2_0;FACOAL_3_0	Q9NR19
ACTA1	protein_ACTA1	c	NTPA	P68133
ACTB	protein_ACTB	c	NTPA	P60709
ACTC1	protein_ACTC1	c	NTPA	P68032
ACTG1	protein_ACTG1	c	NTPA	P63261
ACTG2	protein_ACTG2	c	NTPA	P63267
ACY1	protein_ACY1	c	ACMDAC;NACCYSDAC	Q03154
ACYP1	protein_ACYP1	c	ACYP;ACYP2;E14BPP	P07311
ACYP2	protein_ACYP2	c	ACYP;ACYP2;E14BPP	P14621
ADA	protein_ADA	c	ADA;DADA;RBVDA	P00813
