	genes	tcdb	uniprot	subfamily	family	subclass	class	fam_abbreviation	superfamily	name	pfam	refseq	pdb	go	chebi	substrate
0	ABCA1	3.A.1.211.14	O95477	3.A.1.211	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily			5XJY		CHEBI:22563;CHEBI:53002;CHEBI:16247;CHEBI:3659	anion;amyloid-beta;phospholipid;cholesterol
1	ABCA7	3.A.1.211.10	Q8IZY2	3.A.1.211	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00005			GO:0016324;GO:0043190;GO:0010008;GO:0000139;GO:0016021;GO:0005886;GO:0005524;GO:0016887;GO:0005548;GO:0005215;GO:0006200;GO:0006909;GO:0033700;GO:0055085	CHEBI:8150;CHEBI:7242	phospholipid;ceramide
2	ABCB1	3.A.1.201.1	P08183	3.A.1.201	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_000918.2	6C0V;6FN1;6FN4;6QEX	GO:0009986;GO:0016021;GO:0005624;GO:0005524;GO:0005515;GO:0008559;GO:0042493;GO:0055085	CHEBI:23888	drug
3	ABCB4	3.A.1.201.3	P21439	3.A.1.201	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_000434.1;NP_061337.1	6S7P	GO:0005887;GO:0005624;GO:0005524;GO:0008559;GO:0006629;GO:0042493;GO:0055085	CHEBI:22868;CHEBI:8128;CHEBI:27375;CHEBI:7887;CHEBI:26666;CHEBI:4551	bile salt;1,2-diacyl-sn-glycero-3-phosphocholine(1+);vincaleukoblastine;paclitaxel;short-chain fatty acid;digoxin
4	ABCB6	3.A.1.210.6	Q9NP58	3.A.1.210	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_005680.1	3NH6;3NH9;3NHA;3NHB	GO:0043190;GO:0016021;GO:0005741;GO:0005524;GO:0042626;GO:0006879;GO:0055085	CHEBI:8337	porphyrin
5	ABCC1	3.A.1.208.8	P33527	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_004987.2	2CBZ;4C3Z	GO:0005887;GO:0005624;GO:0005524;GO:0042626;GO:0042493;GO:0055085	CHEBI:25199;CHEBI:2844;CHEBI:2846;CHEBI:5437;CHEBI:24335;CHEBI:5140;CHEBI:6837;CHEBI:17474;CHEBI:6422;CHEBI:30411;CHEBI:28925;CHEBI:25434;CHEBI:30304	mercury(2+);arsenate(3-);arsenite(3-);glutathione;glutathione conjugate;folic acid;methotrexate;estrone 3-sulfate;leukotriene C4;cobalamin;mechlorethamine;bis(2-chloroethyl) sulfide;antimony(0)
6	ABCC10	3.A.1.208.31	Q5T3U5	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily					CHEBI:76612;CHEBI:7887;CHEBI:23888	ibrutinib;paclitaxel;drug
7	ABCC4	3.A.1.208.7	O15439	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_001098985.1;NP_005836.2		GO:0016021;GO:0005624;GO:0005886;GO:0031088;GO:0016404;GO:0005524;GO:0042626;GO:0005254;GO:0006811;GO:0055085	CHEBI:6837;CHEBI:23447;CHEBI:48103;CHEBI:8512;CHEBI:142;CHEBI:25029;CHEBI:3098	methotrexate;cyclic nucleotide;dinucleotide analogue;prostaglandin E2;prostaglandin E1;leukotriene;bile acid
8	ABCC5	3.A.1.208.15	O15440	3.A.1.208	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily	PF00664;PF00005	NP_005679.2		GO:0005887;GO:0005624;GO:0005524;GO:0042626;GO:0008514;GO:0055085	CHEBI:24335;CHEBI:5140;CHEBI:6837;CHEBI:1327;CHEBI:1325;CHEBI:48103;CHEBI:40188;CHEBI:5273;CHEBI:50667;CHEBI:60783	glutathione conjugate;folic acid;methotrexate;3',5'-cyclic GMP;3',5'-cyclic AMP;dinucleotide analogue;adefovir;ganciclovir;mercaptopurine;nucleoside analogue
9	ABCE1	3.A.1.31.4	P61221	3.A.1.31	3.A.1	3.A	3	ABC	ArsA ATPase (ArsA) Superfamily	The ATP-binding Cassette (ABC) Superfamily			6ZME
