	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	UniParc	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	GeneID	KEGG	CTD	GeneCards	HGNC	HPA	MIM	neXtProt	Orphanet	PharmGKB	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	ProDom	PROSITE	SMART	SUPFAM
0	O00408	PDE2A	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=6; Comment=Additional isoforms seem to exist. Experimental confirmation may be lacking for some isoforms.; Name=PDE2A3; IsoId=O00408-1; Sequence=Displayed; Name=PDE2A1; IsoId=O00408-2; Sequence=VSP_055315; Name=PDE2A2; IsoId=O00408-3; Sequence=VSP_055316; Name=PDE2A4; IsoId=O00408-4; Sequence=VSP_055317; Name=5; IsoId=O00408-5; Sequence=VSP_055316, VSP_055318; Name=6; IsoId=O00408-6; Sequence=VSP_055315, VSP_055319, VSP_055320;	UPI000003B340	CCDS44670.1 [O00408-3];CCDS53678.1 [O00408-4];CCDS73345.1 [O00408-2];CCDS8216.1 [O00408-1];	U67733;AY495087;AY495088;AY495089;AK092278;AK131525;AK312434;AP003065;AP005019;	NP_001137311.1 [O00408-3];NP_001139681.1 [O00408-4];NP_001230713.1 [O00408-2];NP_002590.1 [O00408-1];		1Z1L;3IBJ;3ITM;3ITU;4C1I;4D08;4D09;4HTX;4HTZ;4JIB;5TZ3;5TZA;5TZC;5TZH;5TZW;5TZX;5TZZ;5U00;5U7D;5U7I;5U7J;5U7K;5U7L;5VP0;5VP1;5XKM;6B96;6B97;6B98;6BLF;6C7D;6C7E;6C7F;6C7G;6C7I;6C7J;6CYB;6CYC;6CYD;6ZND;6ZQZ;		O00408;	111164;			DIP-40269N;	O00408;	O00408;		9606.ENSP00000334910;	O00408;	CHEMBL2652;	DB07954;DB00201;DB02315;DB06246;DB05142;DB08811;DB09283;	O00408;										O00408;	rs987916591 rs341047		O00408;	O00408;	O00408;		9606-ENSP00000334910;	O00408;	28099;47868 [O00408-1];47869 [O00408-4];67904;	ENST00000334456.10 [O00408-1];ENST00000376450.7 [O00408-5];ENST00000444035.6 [O00408-2];ENST00000540345.5 [O00408-4];ENST00000544570.5 [O00408-3];	5138;	hsa:5138;	5138;	PDE2A;	HGNC:8777;	ENSG00000186642;	602658;619150;	NX_O00408;	31709;	PA33125;	KOG3689;	ENSGT00940000159817;	CLU_006980_3_1_1;	HVKKGYR;	5479253at2759;	O00408;	TF316499;		3.1.4.17;	O00408;	R-HSA-418457;R-HSA-418555;		PDE2A;	ENSG00000186642;	O00408;	cd00077;			IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	PTHR11347:SF102;PTHR11347;	PF01590;PF13185;PF00233;		PR00387;		PS00126;PS51845;	SM00065;SM00471;	SSF55781;SSF109604;
1	O00757	FBP2	9606	ALTERNATIVE PRODUCTS:  	UPI000013CDC2	CCDS6711.1;	Y10812;CR536483;AL161728;BC113632;BC117477;	NP_003828.2;		3IFA;3IFC;4HE0;4HE1;4HE2;5ET5;5ET6;5ET7;5ET8;5K54;5K55;5K56;5L0A;5Q0C;		O00757;	114317;					O00757;		9606.ENSP00000364486;													FBP2;	O00757;	rs573212		O00757;	O00757;	O00757;		9606-ENSP00000364486;	O00757;	48020;	ENST00000375337.4;	8789;	hsa:8789;	8789;	FBP2;	HGNC:3607;	ENSG00000130957;	603027;619864;	NX_O00757;		PA28019;	KOG1458;	ENSGT00390000015513;	CLU_039977_1_0_1;	HEKSECY;	292at2759;	O00757;	TF314824;	MetaCyc:HS05462-MONOMER;	3.1.3.11;	O00757;	R-HSA-70263;	O00757;		ENSG00000130957;		cd00354;		MF_01855;	IPR044015;IPR000146;IPR033391;IPR028343;IPR020548;	PTHR11556:SF13;PTHR11556;	PF00316;PF18913;	PIRSF500210;PIRSF000904;	PR00115;		PS00124;		SSF56655;
2	O00764	PDXK	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O00764-1; Sequence=Displayed; Name=2; IsoId=O00764-2; Sequence=VSP_004653; Name=3; Synonyms=PKH-T; IsoId=O00764-3; Sequence=VSP_010671;	UPI0000131524	CCDS13699.1 [O00764-1];	U89606;AY303972;AP001752;BC000123;BC005825;	NP_003672.1 [O00764-1];XP_005261256.1 [O00764-3];XP_011528062.1;XP_011528063.1 [O00764-3];XP_016883972.1;XP_016883973.1;		2AJP;2F7K;2YXT;2YXU;3FHX;3FHY;3KEU;4EN4;4EOH;		O00764;	114135;	O00764;				O00764;	O00764;	9606.ENSP00000291565;	O00764;	CHEMBL1075181;	DB04776;DB03909;DB04770;DB00147;DB00165;	O00764;										O00764;	rs759333796 rs757480516		O00764;	O00764;	O00764;		9606-ENSP00000291565;	O00764;	48024 [O00764-1];48025 [O00764-2];48026 [O00764-3];	ENST00000291565.9 [O00764-1];ENST00000468090.5 [O00764-2];	8566;	hsa:8566;	8566;	PDXK;	HGNC:8819;	ENSG00000160209;	179020;618511;	NX_O00764;		PA33162;	KOG2599;	ENSGT00390000003874;	CLU_046496_1_1_1;	CPNQLEL;	5472295at2759;	O00764;	TF315004;	MetaCyc:HS08466-MONOMER;	2.7.1.35;	O00764;	R-HSA-6798695;R-HSA-964975;		PDXK;	ENSG00000160209;	O00764;	cd01173;			IPR013749;IPR004625;IPR029056;	PTHR10534;PTHR10534:SF2;	PF08543;						SSF53613;
3	O14494	PLPP1	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Comment=Additional isoforms seem to exist.; Name=1; Synonyms=Alpha-1, hLPP1, PAP2-a1; IsoId=O14494-1; Sequence=Displayed; Name=2; Synonyms=Alpha-2, hLPP1-a, PAP2-a2; IsoId=O14494-2; Sequence=VSP_009651;	UPI0000073CF9	CCDS34159.1 [O14494-1];CCDS34160.1 [O14494-2];	AB000888;AF014402;AF014403;Y14436;AF017116;AC010480;AC025777;CH471123;CH471123;BC039847;BC117133;BC143281;	NP_003702.2 [O14494-1];NP_795714.1 [O14494-2];					114169;					O14494;							SLP:000000160;								PLPP1;	O14494;			O14494;	O14494;	O14494;			O14494;	33687;48037 [O14494-1];48038 [O14494-2];	ENST00000264775.9 [O14494-2];ENST00000307259.9 [O14494-1];	8611;	hsa:8611;	8611;	PLPP1;	HGNC:9228;	ENSG00000067113;	607124;	NX_O14494;		PA33552;		ENSGT00940000156730;	CLU_021458_3_1_1;	YLAMYLQ;	25293at2759;	O14494;	TF316040;			O14494;	R-HSA-1660661;		PPAP2A;	ENSG00000067113;	O14494;	cd03384;			IPR036938;IPR000326;IPR043216;	PTHR10165;PTHR10165:SF26;	PF01569;					SM00014;	SSF48317;
4	O14495	PLPP3	9606	ALTERNATIVE PRODUCTS:  	UPI000006F261	CCDS604.1;	AB000889;AF017786;AF480883;AF043329;U79294;AK312439;BT019589;CH471059;CH471059;CH471059;BC009196;	NP_003704.3;					114171;	O14495;				O14495;		9606.ENSP00000360296;					SLP:000001642;								PLPP3;	O14495;			O14495;	O14495;	O14495;		9606-ENSP00000360296;	O14495;	48039;	ENST00000371250.4;	8613;	hsa:8613;	8613;	PLPP3;	HGNC:9229;	ENSG00000162407;	607125;	NX_O14495;		PA33553;	KOG3030;	ENSGT00940000156450;	CLU_021458_3_0_1;	YRIHYLH;	25293at2759;	O14495;	TF316040;		3.1.3.4;	O14495;	R-HSA-1660661;		PPAP2B;	ENSG00000162407;		cd03384;			IPR036938;IPR000326;IPR043216;	PTHR10165;PTHR10165:SF79;	PF01569;					SM00014;	SSF48317;
5	O14735	CDIPT	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O14735-1; Sequence=Displayed; Name=2; IsoId=O14735-2; Sequence=VSP_013618, VSP_013619, VSP_013620; Name=3; IsoId=O14735-3; Sequence=VSP_054767;	UPI0000131B1C	CCDS10657.1 [O14735-1];CCDS67002.1 [O14735-3];	AF014807;BT007301;AK131349;AK300805;CR542016;AC120114;BC001444;	NP_001273514.1 [O14735-3];NP_006310.1 [O14735-1];				O14735;	115692;			DIP-54492N;		O14735;	O14735;	9606.ENSP00000219789;			DB03106;		SLP:000000533;									O14735;	rs1802002		O14735;	O14735;	O14735;		9606-ENSP00000219789;	O14735;	42746;48197 [O14735-1];48198 [O14735-2];	ENST00000219789.11 [O14735-1];ENST00000566113.5 [O14735-3];ENST00000569956.5 [O14735-1];ENST00000570016.5 [O14735-1];	10423;	hsa:10423;	10423;	CDIPT;	HGNC:1769;	ENSG00000103502;	605893;	NX_O14735;		PA26306;	KOG3240;	ENSGT00940000154169;	CLU_067602_2_0_1;	FWFQLSM;	5472855at2759;	O14735;	TF314603;	MetaCyc:HS02513-MONOMER;	2.7.8.11;	O14735;	R-HSA-1483226;		CDIPT;	ENSG00000103502;	O14735;				IPR000462;IPR043130;IPR014387;	PTHR15362:SF4;PTHR15362;	PF01066;	PIRSF000848;			PS00379;		
6	O14841	OPLAH	9606	ALTERNATIVE PRODUCTS:  	UPI000035154E	CCDS75802.1;	AB122018;BC142672;AL096750;AH005594;	NP_060040.1;				O14841;	117922;					O14841;	O14841;	9606.ENSP00000480476;			DB00142;											O14841;	rs3935209		O14841;	O14841;	O14841;		9606-ENSP00000480476;	O14841;	48272;	ENST00000618853.5;	26873;	hsa:26873;	26873;	OPLAH;	HGNC:8149;	ENSG00000178814;	260005;614243;	NX_O14841;	33572;	PA31935;	KOG1939;	ENSGT00390000013463;	CLU_002157_0_0_1;	TDCNVML;	674at2759;	O14841;		MetaCyc:HS11319-MONOMER;	3.5.2.9;	O14841;	R-HSA-174403;R-HSA-5578998;			ENSG00000178814;	O14841;				IPR008040;IPR002821;IPR003692;IPR045079;	PTHR11365:SF2;PTHR11365;	PF19278;PF05378;PF01968;PF02538;						
7	O14986	PIP5K1B	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O14986-1; Sequence=Displayed; Name=2; Synonyms=Isoform 1; IsoId=O14986-2; Sequence=VSP_016010, VSP_016011; Name=3; IsoId=O14986-3; Sequence=VSP_054771;	UPI000002E327	CCDS65063.1 [O14986-3];CCDS6624.1 [O14986-1];	X92493;U52387;U52376;U52377;U52378;U52379;U52380;U52381;U52382;U52383;U52384;U52385;U52386;AK292734;AK295587;AL162730;AL354794;AL356219;CH471089;BC030587;U78580;	NP_001265182.1 [O14986-3];NP_003549.1 [O14986-1];XP_005252318.1;XP_005252319.1 [O14986-1];XP_006717363.1;XP_006717364.1;XP_011517384.1 [O14986-1];XP_011517385.1;XP_011517386.1 [O14986-1];XP_016870677.1 [O14986-1];XP_016870678.1 [O14986-1];XP_016870679.1;XP_016870680.1;				O14986;	113984;	O14986;						9606.ENSP00000265382;		CHEMBL4802064;												O14986;	rs55897616		O14986;	O14986;	O14986;		9606-ENSP00000265382;	O14986;	4304;48360 [O14986-1];48361 [O14986-2];	ENST00000265382.8 [O14986-1];ENST00000478500.3 [O14986-2];ENST00000541509.5 [O14986-3];	8395;	hsa:8395;	8395;	PIP5K1B;	HGNC:8995;	ENSG00000107242;	602745;	NX_O14986;		PA33328;	KOG0229;	ENSGT00940000156639;	CLU_004312_5_1_1;	QSYCSLD;	5481504at2759;	O14986;	TF319618;	MetaCyc:HS02982-MONOMER;	2.7.1.68;	O14986;	R-HSA-1660499;R-HSA-201688;R-HSA-6811558;	O14986;	PIP5K1B;	ENSG00000107242;	O14986;	cd17307;			IPR023610;IPR002498;IPR027484;	PTHR23086:SF34;PTHR23086;	PF01504;				PS51455;	SM00330;	SSF56104;
8	O15120	AGPAT2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=2; Name=1; IsoId=O15120-1; Sequence=Displayed; Name=2; IsoId=O15120-2; Sequence=VSP_005071;	UPI0000131BD3	CCDS35181.1 [O15120-2];CCDS7003.1 [O15120-1];	AF000237;AF011374;U56418;AL590226;CH471090;CH471090;BC000026;BC004529;	NP_001012745.1 [O15120-2];NP_006403.2 [O15120-1];				O15120;	115806;	O15120;				O15120;		9606.ENSP00000360761;	O15120;	CHEMBL4772;			SLP:000000096;									O15120;	rs797045222 rs104894100 rs145975461		O15120;	O15120;	O15120;		9606-ENSP00000360761;	O15120;	48457 [O15120-1];48458 [O15120-2];	ENST00000371694.7 [O15120-2];ENST00000371696.7 [O15120-1];ENST00000538402.1 [O15120-1];	10555;	hsa:10555;	10555;	AGPAT2;	HGNC:325;	ENSG00000169692;	603100;608594;	NX_O15120;	528;	PA24622;	KOG2848;	ENSGT00390000008726;	CLU_027938_10_1_1;	MPRPLCY;	209232at2759;	O15120;	TF314867;	MetaCyc:HS09990-MONOMER;	2.3.1.51;	O15120;	R-HSA-1483166;R-HSA-6798695;		AGPAT2;	ENSG00000169692;	O15120;	cd07989;			IPR004552;IPR002123;	PTHR10434;PTHR10434:SF2;	PF01553;					SM00563;	SSF69593;
9	O15244	SLC22A2	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O15244-1; Sequence=Displayed; Name=2; Synonyms=OCT2-A; IsoId=O15244-2; Sequence=VSP_031773, VSP_031774; Name=3; IsoId=O15244-3; Sequence=VSP_031771, VSP_031772;	UPI000013D5BB	CCDS5276.1 [O15244-1];	X98333;AB075951;AK290787;AL162582;CH471051;BC030978;BC039899;AJ251885;	NP_003049.2 [O15244-1];				O15244;	112469;					O15244;		9606.ENSP00000355920;	O15244;	CHEMBL1743122;	DB12001;DB08838;DB00437;DB00915;DB11640;DB00594;DB00345;DB01118;DB11901;DB11817;DB01156;DB01114;DB00122;DB14006;DB00501;DB00515;DB00758;DB00907;DB08912;DB06637;DB01151;DB09555;DB01160;DB00917;DB01075;DB00280;DB00204;DB08930;DB00988;DB04855;DB13874;DB00668;DB12147;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB00927;DB12265;DB00690;DB00798;DB00986;DB00365;DB01018;DB00536;DB05381;DB00619;DB00458;DB11886;DB11633;DB00709;DB00555;DB00448;DB09078;DB01137;DB05667;DB08882;DB01043;DB00331;DB09241;DB00264;DB08893;DB08840;DB12598;DB00184;DB00368;DB16267;DB11837;DB00526;DB01580;DB11697;DB01337;DB15102;DB00914;DB00925;DB05383;DB00960;DB00413;DB01032;DB01035;DB00396;DB00571;DB01103;DB00908;DB00468;DB00863;DB00206;DB12457;DB06176;DB00938;DB08839;DB14754;DB00391;DB06608;DB15133;DB00871;DB13946;DB08837;DB00152;DB09343;DB06137;DB15442;DB01199;DB11652;DB15328;DB05294;DB01273;DB00495;	O15244;								2.A.1.19.30;		O15244;	rs8177504 rs8177507 rs145450955 rs316019 rs8177513 rs8177516 rs8177517 rs3907239			O15244;			9606-ENSP00000355920;	O15244;	48533 [O15244-1];48534 [O15244-2];48535 [O15244-3];	ENST00000366953.8 [O15244-1];	6582;	hsa:6582;	6582;	SLC22A2;	HGNC:10966;	ENSG00000112499;	602608;	NX_O15244;		PA331;	KOG0255;	ENSGT00940000155089;	CLU_001265_33_5_1;	HIGEFHF;	1474205at2759;	O15244;	TF315847;			O15244;	R-HSA-112311;R-HSA-181430;R-HSA-2161517;R-HSA-442660;R-HSA-549127;		SLC22A2;	ENSG00000112499;	O15244;	cd17379;			IPR020846;IPR005828;IPR036259;IPR004749;IPR005829;	PTHR24064;PTHR24064:SF432;	PF00083;				PS50850;PS00216;		SSF103473;
