	node_id	node_alias	node_source	node_type	alias_type
0	Q96AT9	Q96AT9	uniprot	gene/protein	identifier
1	P49247	P49247	uniprot	gene/protein	identifier
2	Q00796	Q00796	uniprot	gene/protein	identifier
3	O43488	O43488	uniprot	gene/protein	identifier
4	P19623	P19623	uniprot	gene/protein	identifier
5	Q9BV57	Q9BV57	uniprot	gene/protein	identifier
6	P52788	P52788	uniprot	gene/protein	identifier
7	P37837	P37837	uniprot	gene/protein	identifier
8	Q9BU02	Q9BU02	uniprot	gene/protein	identifier
9	P29401	P29401	uniprot	gene/protein	identifier
10	Q9H3S4	Q9H3S4	uniprot	gene/protein	identifier
11	Q9UHY7	Q9UHY7	uniprot	gene/protein	identifier
12	P46926	P46926	uniprot	gene/protein	identifier
13	P60174	P60174	uniprot	gene/protein	identifier
14	Q14376	Q14376	uniprot	gene/protein	identifier
15	P11413	P11413	uniprot	gene/protein	identifier
16	P51570	P51570	uniprot	gene/protein	identifier
17	P10746	P10746	uniprot	gene/protein	identifier
18	P06132	P06132	uniprot	gene/protein	identifier
19	P14550	P14550	uniprot	gene/protein	identifier
20	Q13336	Q13336	uniprot	gene/protein	identifier
21	O75191	O75191	uniprot	gene/protein	identifier
22	Q7Z4W1	Q7Z4W1	uniprot	gene/protein	identifier
23	P15121	P15121	uniprot	gene/protein	identifier
24	P07902	P07902	uniprot	gene/protein	identifier
25	Q16851	Q16851	uniprot	gene/protein	identifier
26	P11169	P11169	uniprot	gene/protein	identifier
27	P14672	P14672	uniprot	gene/protein	identifier
28	P04406	P04406	uniprot	gene/protein	identifier
29	O75223	O75223	uniprot	gene/protein	identifier
30	Q16774	Q16774	uniprot	gene/protein	identifier
31	P15104	P15104	uniprot	gene/protein	identifier
32	P48506	P48506	uniprot	gene/protein	identifier
33	P48507	P48507	uniprot	gene/protein	identifier
34	Q16775	Q16775	uniprot	gene/protein	identifier
35	P48067	P48067	uniprot	gene/protein	identifier
36	P36959	P36959	uniprot	gene/protein	identifier
37	P49915	P49915	uniprot	gene/protein	identifier
38	P52209	P52209	uniprot	gene/protein	identifier
39	P00390	P00390	uniprot	gene/protein	identifier
40	Q06830	Q06830	uniprot	gene/protein	identifier
41	P07203	P07203	uniprot	gene/protein	identifier
42	P32119	P32119	uniprot	gene/protein	identifier
43	P36969	P36969	uniprot	gene/protein	identifier
44	P48637	P48637	uniprot	gene/protein	identifier
45	P00492	P00492	uniprot	gene/protein	identifier
46	P00918	P00918	uniprot	gene/protein	identifier
47	P00915	P00915	uniprot	gene/protein	identifier
48	P07451	P07451	uniprot	gene/protein	identifier
49	P02730	P02730	uniprot	gene/protein	identifier
50	P19367	P19367	uniprot	gene/protein	identifier
51	P52790	P52790	uniprot	gene/protein	identifier
52	P08397	P08397	uniprot	gene/protein	identifier
53	O75874	O75874	uniprot	gene/protein	identifier
54	P12268	P12268	uniprot	gene/protein	identifier
55	Q9Y666	Q9Y666	uniprot	gene/protein	identifier
56	P07195	P07195	uniprot	gene/protein	identifier
57	P00338	P00338	uniprot	gene/protein	identifier
58	Q04760	Q04760	uniprot	gene/protein	identifier
59	P47712	P47712	uniprot	gene/protein	identifier
60	P09960	P09960	uniprot	gene/protein	identifier
61	P34949	P34949	uniprot	gene/protein	identifier
62	P40925	P40925	uniprot	gene/protein	identifier
63	P48163	P48163	uniprot	gene/protein	identifier
64	O75387	O75387	uniprot	gene/protein	identifier
65	O43426	O43426	uniprot	gene/protein	identifier
66	Q92835	Q92835	uniprot	gene/protein	identifier
67	P29218	P29218	uniprot	gene/protein	identifier
68	Q9NPH2	Q9NPH2	uniprot	gene/protein	identifier
69	Q13126	Q13126	uniprot	gene/protein	identifier
70	Q6IA69	Q6IA69	uniprot	gene/protein	identifier
71	Q13232	Q13232	uniprot	gene/protein	identifier
72	Q02094	Q02094	uniprot	gene/protein	identifier
73	Q96T66	Q96T66	uniprot	gene/protein	identifier
74	P49902	P49902	uniprot	gene/protein	identifier
75	Q9H0P0	Q9H0P0	uniprot	gene/protein	identifier
76	Q8TCD5	Q8TCD5	uniprot	gene/protein	identifier
77	P11172	P11172	uniprot	gene/protein	identifier
78	P11926	P11926	uniprot	gene/protein	identifier
79	P54750	P54750	uniprot	gene/protein	identifier
80	Q08499	Q08499	uniprot	gene/protein	identifier
81	O00408	O00408	uniprot	gene/protein	identifier
82	Q14432	Q14432	uniprot	gene/protein	identifier
83	Q13370	Q13370	uniprot	gene/protein	identifier
84	Q9NVS9	Q9NVS9	uniprot	gene/protein	identifier
85	Q96GD0	Q96GD0	uniprot	gene/protein	identifier
86	Q99447	Q99447	uniprot	gene/protein	identifier
87	P17858	P17858	uniprot	gene/protein	identifier
88	P08237	P08237	uniprot	gene/protein	identifier
89	P06744	P06744	uniprot	gene/protein	identifier
90	P00558	P00558	uniprot	gene/protein	identifier
91	O95336	O95336	uniprot	gene/protein	identifier
92	P17174	P17174	uniprot	gene/protein	identifier
93	Q01970	Q01970	uniprot	gene/protein	identifier
94	P48426	P48426	uniprot	gene/protein	identifier
