	genes	uniprot	hgnc.symbol	ncbigene	notes
0	ADCY1	Q08828	ADCY1	107	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
1	ADCY3	O60266	ADCY3	109	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
2	ADCY4	Q8NFM4	ADCY4	196883	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
3	ADCY5	O95622	ADCY5	111	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
4	ADCY6	O43306	ADCY6	112	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
5	ADCY7	P51828	ADCY7	113	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
6	ADCY8	P40145	ADCY8	114	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
7	ADCY9	O60503	ADCY9	115	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
8	AGPAT2	O15120	AGPAT2	10555	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
9	AGPAT5	Q9NUQ2	AGPAT5	55326	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
10	ALDH1A2	O94788	ALDH1A2	8854	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
11	AMD1	P17707	AMD1	262	no proteomic evidence.
12	AOX1	Q06278	AOX1	316	no proteomic evidence.
13	ATP1B4	Q9UN42	ATP1B4	23439	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
14	CDS1	Q92903	CDS1	1040	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
15	CEPT1	Q9Y6K0	CEPT1	10390	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
16	CHKA	P35790	CHKA	1119	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
17	CHKB	Q9Y259	CHKB	1120	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
18	CHPT1	Q8WUD6	CHPT1	56994	no proteomic evidence. evidence indicates activity does not occur in erythrocytes
19	CLC	Q05315	CLC	1178	Evidence indicates other enzymes are present in erythrocytes and responsible for reactions. Galectin-10 does not have enzyamtic activity
20	COMTD1	Q86VU5	COMTD1	118881	no proteomic evidence. evidence indicates other enzymes are present in erythrocytes and responsible for reactions
21	CPOX	P36551	CPOX	1371	Coproporphyrinogen oxidase is a mitochondrial enzyme for heme synthesis, and healthy mature erythrocytes do not synthesize heme nor have mitochondria. No evidence found supporting activity in cytosol.
22	CPT2	P23786	CPT2	1376	evidence indicates other enzymes are present in erythrocytes and responsible for reactions
