genes	uniprot	uniprot.isoform	uniprot.chain	hgnc.symbol	ec-code	taxonomy	uniparc	rhea	go	ccds	ena.embl	refseq	bmrb	pdb	sasbdb	smr	biogrid	complexportal	dip	intact	chembl.target	drugbank	iuphar.receptor	cazy	ideal	merops	peroxibase	tcdb	dbsnp	proteomicsdb.protein	ensembl	ncbigene	kegg.genes	genecards	hgnc	hpa	mim	nextprot	orphanet	pharmgkb.gene	eggnog	genetree	hogenom	oma.grp	orthodb	treefam	biocyc	brenda	reactome	genewiki	bgee.gene	cdd	disprot	hamap	interpro	panther.family	pfam	pirsf	prints	prosite	smart	supfam	chromosome
A4GALT	Q9NPC4		PRO_0000080578	A4GALT	2.4.1.228	9606	UPI000003FF92	11924;60044	0000139;0001576;0006688;0007009;0008378;0015643;0016020;0050512	CCDS14041.1	AB037883;AJ245581;AB041418;AY941797;AK312927;Z82176;CH471138;BC017068	NP_001304967.1;NP_059132.1;XP_005261701.1;XP_005261703.1;XP_005261704.1;XP_005261705.1;XP_006724328.1;XP_006724329.1;XP_011528535.1;XP_016884320.1;XP_047297368.1				Q9NPC4	119825			Q9NPC4				GT32					rs11541159;rs28915383;rs74315453;rs28940572;rs397514502;rs28940571	81966	ENST00000249005.3;ENST00000381278.4;ENST00000401850.5;ENST00000642412.2	53947	hsa:53947	A4GALT	18149	ENSG00000128274	111400;607922	NX_Q9NPC4		PA24359	KOG1928	ENSGT00510000047981	CLU_049512_2_0_1	CKDSYVV	409543at2759	TF324053	MetaCyc:HS05171-MONOMER	2.4.1.228	R-HSA-9840309	A4GALT	ENSG00000128274				IPR007652;IPR051981;IPR007577;IPR029044	PTHR12042:SF17;PTHR12042	PF04572;PF04488					SSF53448	22
AARS1	P49588	P49588-1;P49588-2	PRO_0000075281	AARS1	6.-.-.-;6.1.1.7	9606	UPI0000169F0B	12540;80271;80275	0000049;0002161;0002196;0004813;0005524;0005634;0005737;0005739;0005829;0006400;0006418;0006419;0008033;0008270;0016020;0016597;0021680;0035332;0043524;0050885;0051402;0070062;0140018;0141207;1901797	CCDS32474.1	D32050;AK299098;AK222824;AC012184;CH471241;BC011451	NP_001596.2		4XEM;4XEO;5KNN;5T5S;5T76;5V59		P49588	106534			P49588	CHEMBL3574	DB00160							rs387906792;rs786205157;rs11537667;rs267606621;rs143370729;rs369774476	56022	ENST00000261772.13;ENST00000674691.1;ENST00000674963.1;ENST00000675643.1	16	hsa:16	AARS1	20	ENSG00000090861	601065;613287;616339;619661;619691	NX_P49588	228174;442835;33364	PA24367	KOG0188	ENSGT00940000157335	CLU_004485_5_0_1	NKKDNFW	2423964at2759	TF300737			R-HSA-379716		ENSG00000090861	cd00673		MF_00036_B	IPR045864;IPR002318;IPR018162;IPR018165;IPR018164;IPR050058;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947	PTHR11777:SF36;PTHR11777	PF02272;PF01411;PF07973		PR00980	PS50860	SM00863	SSF55681;SSF101353;SSF55186;SSF50447	16
AASDHPPT	Q9NRN7	Q9NRN7-1;Q9NRN7-2	PRO_0000175736	AASDHPPT	2.7.8.7	9606	UPI0000034CAD	12068;46564	0000287;0005829;0008897;0009258;0015939;0019878;0051604;0070062	CCDS31664.1	AF302110;AF151838;AF151057;AF136978;AF201943;AK312529;AK293362;AP001001;CH471065;BC015470;BC016728;AL050073	NP_056238.2		2BYD;2C43;2CG5		Q9NRN7	121927			Q9NRN7	CHEMBL3137295									3900;82396	ENST00000278618.9;ENST00000525660.1	60496	hsa:60496	AASDHPPT	14235	ENSG00000149313	607756	NX_Q9NRN7		PA24368	KOG0945	ENSGT00390000004663	CLU_1854476_0_0_1	WVFEESL	26719at2759	TF313753	MetaCyc:HS14278-MONOMER	2.7.8.7	R-HSA-199220	AASDHPPT	ENSG00000149313				IPR008278;IPR037143;IPR055066;IPR050559	PTHR12215:SF10;PTHR12215	PF22624;PF01648					SSF56214	11
ABCA1	O95477		PRO_0000093288	ABCA1	7.6.2.1	9606	UPI000013E441	38583;38567;38903;39051	0002790;0005102;0005524;0005548;0005768;0005789;0005794;0005886;0006911;0007040;0007186;0007189;0008035;0008203;0008320;0009306;0009897;0010745;0010875;0010887;0015485;0016197;0016323;0016887;0019905;0023061;0030139;0031210;0031267;0032367;0032489;0033344;0033552;0033700;0034185;0034186;0034188;0034380;0034616;0042158;0042626;0042632;0043231;0043691;0045121;0045332;0045335;0046623;0048471;0051117;0055091;0060155;0071222;0071300;0071345;0071397;0071404;0071466;0071806;0090107;0090108;0090554;0090556;0097708;0120020;0140115;0140328;0140359	CCDS6762.1	AF275948;AL353685;AL359846;AF285167;AF287262;AB055982;AJ012376;AF165281;AF165286;AF165282;AF165283;AF165284;AF165285;AF165306;AF165287;AF165288;AF165289;AF165290;AF165291;AF165292;AF165293;AF165294;AF165295;AF165296;AF165297;AF165298;AF165299;AF165300;AF165301;AF165302;AF165303;AF165304;AF165305;AF165309;AF165307;AF165308;AF165310	NP_005493.2		5XJY;7ROQ;7TBW;7TBY;7TBZ;7TC0;7TDT		O95477	106537		DIP-29211N	O95477	CHEMBL2362986	DB00171;DB01016;DB01599;DB00675;DB11635;DB00163						3.A.1.211.14	rs145183203;rs2230806;rs9282541;rs142625938;rs758100110;rs775035559;rs9282543;rs138487227;rs147675550;rs2853574;rs137854496;rs2853578;rs374190304;rs2066718;rs35819696;rs138880920;rs145582736;rs2066715;rs1322998567;rs2066714;rs1832457117;rs28937314;rs28937313;rs137854495;rs141021096;rs13306072;rs745593394;rs28933692;rs33918808;rs76881554;rs562403512;rs137854500;rs147743782;rs145689805;rs1831213945;rs189206655;rs137854494;rs137854497;rs1997618;rs2230808;rs1251839800;rs1883024;rs1203589782;rs150125857;rs137854498;rs760507032;rs146292819;rs1055285452;rs760768125;rs142688906;rs137854499;rs137854501;rs369098049;rs2853577;rs564764153;rs34879708;rs144588452	50908	ENST00000374736.8	19	hsa:19	ABCA1	29	ENSG00000165029	205400;600046;604091	NX_O95477	425;31150	PA24373	KOG0059	ENSGT00940000154658	CLU_000604_19_0_1	AWQDYIS	8061355at2759	TF105191			R-HSA-1989781;R-HSA-5682113;R-HSA-8963896;R-HSA-9029569	ABCA1	ENSG00000165029	cd03263			IPR003593;IPR013525;IPR003439;IPR017871;IPR026082;IPR027417;IPR056264	PTHR19229:SF250;PTHR19229	PF12698;PF00005;PF23321			PS00211;PS50893	SM00382	SSF52540	9
ABCA7	Q8IZY2	Q8IZY2-1;Q8IZY2-2	PRO_0000250674	ABCA7	7.6.2.1	9606	UPI000013D3A4	38583;38567	0000139;0001891;0005524;0005548;0005783;0005794;0005886;0006909;0007613;0008542;0009986;0010875;0016887;0018149;0019216;0030054;0031901;0032587;0033344;0033700;0034188;0034205;0034380;0034504;0038027;0042626;0042985;0043231;0043409;0044857;0045332;0045806;0050766;0070374;0090554;0090556;0097386;0140328;0140359;0150094;1900223;1901076;1902430;1902991;1902995;1903898;2000010	CCDS12055.1	AF250238;AF311102;AF311058;AF311059;AF311060;AF311061;AF311062;AF311063;AF311064;AF311065;AF311066;AF311067;AF311068;AF311057;AF311069;AF311070;AF311071;AF311072;AF311073;AF311074;AF311075;AF311076;AF311077;AF311078;AF311079;AF311080;AF311081;AF311082;AF311083;AF311084;AF311085;AF311086;AF311087;AF311088;AF311089;AF311090;AF311091;AF311092;AF311093;AF311094;AF311095;AF311096;AF311097;AF311098;AF311099;AF311100;AF311101;AB055390;AF328787;AC011558;AF140342	NP_061985.2;XP_011525930.1;XP_047294000.1		8EDW;8EE6;8EEB;8EOP		Q8IZY2	115629			Q8IZY2								3.A.1.211.10	rs3764645;rs3752232;rs3764647;rs3752233;rs59851484;rs3752239;rs143718918;rs3745842;rs3752246;rs4147918;rs4147934	71441;71442	ENST00000263094.11	10347	hsa:10347	ABCA7	37	ENSG00000064687	605414;608907	NX_Q8IZY2	1020	PA24382	KOG0059	ENSGT00940000161439	CLU_000604_19_0_1	LVSYIKF	8061355at2759	TF105191			R-HSA-1369062	ABCA7	ENSG00000064687	cd03263			IPR003593;IPR013525;IPR003439;IPR017871;IPR026082;IPR027417;IPR056264	PTHR19229:SF250;PTHR19229	PF12698;PF00005;PF23321			PS00211;PS50893	SM00382	SSF52540	19
ABCB1	P08183	P08183-1;P08183-2	PRO_0000093332	ABCB1	7.6.2.1;7.6.2.2	9606	UPI000013D66C	36439;38583;38943;38903	0000086;0005524;0005737;0005886;0006805;0008559;0009410;0009986;0015562;0016020;0016324;0016887;0022857;0031625;0042626;0042910;0045332;0046865;0046943;0055085;0070062;0070633;0072089;0090554;0090555;0098591;0099038;0099040;0140115;0140328;0150104;1905039;1990961;1990962;2001225	CCDS5608.1	M14758;M29447;M29424;M29425;M29426;M29427;M29428;M29429;M29430;M29431;M29432;M29433;M29434;M29435;M29436;M29437;M29438;M29439;M29440;M29441;M29442;M29443;M29444;M29445;M29446;AF016535;EU854148;AY910577;AK290159;AC002457;AC005068;M37724;M37725;X58723	NP_000918.2;NP_001335873.1;NP_001335875.1		6C0V;6FN1;6FN4;6QEX;7A65;7A69;7A6C;7A6E;7A6F;7O9W;8Y6H;8Y6I		P08183	111262			P08183	CHEMBL4302	DB12001;DB14973;DB01193;DB01418;DB00316;DB00945;DB15568;DB08916;DB00518;DB04630;DB11363;DB00802;DB00346;DB09026;DB00523;DB12015;DB14003;DB06403;DB01118;DB06288;DB00321;DB00381;DB00613;DB00701;DB00276;DB01217;DB06420;DB11901;DB06605;DB05676;DB01238;DB01169;DB09274;DB12597;DB00637;DB11586;DB01072;DB16098;DB01076;DB01117;DB00171;DB15011;DB06237;DB15233;DB11995;DB06626;DB00993;DB00972;DB08822;DB00207;DB16407;DB13997;DB11817;DB00394;DB15719;DB05015;DB16703;DB15463;DB01086;DB01244;DB15982;DB00443;DB14669;DB12364;DB12236;DB01128;DB11967;DB04851;DB00612;DB08873;DB00188;DB06616;DB01200;DB01222;DB00921;DB00490;DB06772;DB00248;DB11751;DB04690;DB08907;DB13919;DB00796;DB09061;DB14737;DB11791;DB01197;DB00564;DB08889;DB06016;DB01136;DB00520;DB01212;DB00482;DB09063;DB00439;DB06419;DB00341;DB07565;DB00608;DB00477;DB01239;DB04540;DB02659;DB01340;DB00501;DB00537;DB00215;DB01211;DB01190;DB00349;DB00845;DB00882;DB01242;DB00758;DB00257;DB00363;DB09065;DB05239;DB01394;DB02587;DB14062;DB00872;DB00286;DB12483;DB01380;DB08865;DB11672;DB14635;DB00091;DB06695;DB08912;DB09102;DB11963;DB00970;DB06292;DB00080;DB12941;DB01264;DB09183;DB01254;DB00694;DB04840;DB01151;DB00967;DB14071;DB16650;DB01234;DB14649;DB09213;DB14068;DB14063;DB00829;DB00586;DB00255;DB01396;DB00390;DB00320;DB00343;DB08995;DB00975;DB01248;DB14067;DB08930;DB01184;DB05928;DB00590;DB01142;DB00997;DB00470;DB04855;DB00476;DB11952;DB09075;DB06374;DB04881;DB11979;DB11574;DB00216;DB15444;DB09039;DB14064;DB09038;DB00584;DB13874;DB11718;DB13007;DB11986;DB08899;DB00751;DB12147;DB01253;DB00696;DB00530;DB11827;DB00199;DB01175;DB00736;DB00783;DB13952;DB13953;DB13954;DB13955;DB13956;DB01196;DB04573;DB14641;DB00655;DB00977;DB00773;DB06414;DB01590;DB00973;DB12466;DB12500;DB01023;DB00813;DB06702;DB00950;DB08874;DB14845;DB08868;DB01195;DB04908;DB00196;DB00472;DB00875;DB00623;DB00690;DB13867;DB08906;DB00588;DB00176;DB05449;DB11796;DB15149;DB00674;DB12923;DB15097;DB00317;DB00441;DB01645;DB12141;DB11978;DB13879;DB01016;DB00027;DB12836;DB11575;DB00365;DB00502;DB14070;DB14061;DB00741;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB01611;DB00557;DB12471;DB01050;DB09054;DB00619;DB00458;DB05039;DB00224;DB00328;DB11886;DB05889;DB00762;DB11633;DB06636;DB11757;DB01167;DB08820;DB00602;DB14568;DB04845;DB01587;DB01026;DB00709;DB00555;DB12799;DB00448;DB01259;DB14723;DB11732;DB09027;DB12825;DB11951;DB15673;DB00480;DB16217;DB09078;DB12070;DB01006;DB09237;DB01202;DB01137;DB05667;DB08918;DB00451;DB00281;DB08882;DB00279;DB01583;DB09198;DB14065;DB08827;DB06448;DB16220;DB16222;DB00836;DB01601;DB00455;DB00678;DB00227;DB14146;DB09280;DB12674;DB13125;DB06234;DB14009;DB00603;DB00253;DB00358;DB00351;DB00454;DB00333;DB00563;DB09241;DB00959;DB01233;DB00916;DB01388;DB01110;DB00683;DB00834;DB09031;DB08893;DB12489;DB16236;DB00648;DB01204;DB16390;DB11763;DB11430;DB00295;DB00688;DB01203;DB01183;DB00788;DB03467;DB01149;DB00220;DB11828;DB09048;DB00622;DB01115;DB09239;DB04868;DB09079;DB11793;DB16691;DB12005;DB00401;DB01054;DB00698;DB00585;DB00717;DB00957;DB00540;DB00104;DB06670;DB16261;DB00334;DB09074;DB00768;DB16267;DB12455;DB09296;DB00338;DB14069;DB11632;DB09330;DB00776;DB12612;DB01229;DB11697;DB09073;DB01267;DB06603;DB00213;DB09297;DB00715;DB06589;DB15102;DB00652;DB01174;DB00252;DB13878;DB01100;DB12582;DB04951;DB17472;DB08860;DB02261;DB12240;DB09287;DB11077;DB08910;DB08901;DB01263;DB15822;DB00175;DB00457;DB00860;DB15566;DB14631;DB00635;DB01087;DB00396;DB01069;DB01182;DB00818;DB00571;DB00344;DB06480;DB04216;DB01224;DB01103;DB00908;DB00468;DB12874;DB00481;DB00863;DB00243;DB00234;DB08896;DB11853;DB14761;DB16826;DB00206;DB11855;DB14072;DB03825;DB00615;DB01045;DB11753;DB08864;DB12457;DB08931;DB14840;DB15305;DB00734;DB00503;DB06228;DB09291;DB06176;DB00778;DB12332;DB11544;DB00360;DB01232;DB12541;DB12035;DB01037;DB11362;DB15685;DB11689;DB01104;DB00203;DB06207;DB06290;DB00641;DB00877;DB01261;DB08934;DB09099;DB00052;DB00398;DB12713;DB15569;DB01208;DB12548;DB03203;DB00421;DB01323;DB02901;DB13951;DB02010;DB09118;DB00428;DB00391;DB00669;DB01268;DB09034;DB00382;DB00864;DB11760;DB11770;DB00675;DB06240;DB04348;DB12887;DB09161;DB09160;DB01079;DB05521;DB00966;DB12095;DB00853;DB06287;DB14126;DB09299;DB00300;DB15133;DB01162;DB00342;DB04905;DB13943;DB13944;DB01420;DB13946;DB14066;DB11712;DB08816;DB00373;DB04960;DB00932;DB16732;DB11800;DB11635;DB11251;DB06212;DB00273;DB01030;DB00539;DB14962;DB05773;DB00656;DB00831;DB00508;DB15442;DB00440;DB00726;DB13179;DB11652;DB09270;DB15328;DB14989;DB09076;DB15091;DB14057;DB11869;DB05294;DB00862;DB01339;DB11613;DB08881;DB11581;DB00285;DB00661;DB15456;DB14895;DB09082;DB04876;DB00570;DB00541;DB11641;DB08828;DB04877;DB11693;DB11739;DB09030;DB12026;DB15035;DB15688;DB00495;DB04832;DB00246;DB00315;DB00909;DB06191	768					3.A.1.201.1	rs28381804;rs9282564;rs1202183;rs9282565;rs1128501;rs36008564;rs2229109;rs28381902;rs28381914;rs2235036;rs35023033;rs2235039;rs2032581;rs28381967;rs2032582;rs926081975;rs72552784;rs28401798;rs55852620;rs2229107;rs28364274	52080;5934	ENST00000265724.8;ENST00000543898.5;ENST00000622132.5	5243	hsa:5243	ABCB1	40	ENSG00000085563	171050;612244;620950	NX_P08183		PA267	KOG0055	ENSGT00940000155287	CLU_000604_17_2_1	IGMAAPY	6500128at2759	TF105193	MetaCyc:HS01500-MONOMER	7.6.2.2;7.6.2.3	R-HSA-2161517;R-HSA-382556;R-HSA-9754706;R-HSA-9757110	P-glycoprotein	ENSG00000085563	cd18558;cd18578;cd03249			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR027417;IPR039421	PTHR43394:SF28;PTHR43394	PF00664;PF00005			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	7
ABCB4	P21439	P21439-1;P21439-2;P21439-3	PRO_0000093333	ABCB4	7.6.2.1	9606	UPI000013D66B	66272;36439;38903	0005524;0005548;0005654;0005737;0005829;0005886;0005925;0006629;0016020;0016324;0016887;0030136;0032376;0032782;0042626;0045121;0045332;0046581;0055085;0055088;0061092;0070062;0090554;0140359;1901557;1903413;2001140	CCDS5605.1;CCDS5606.1;CCDS5607.1	M23234;EF034088;AC005045;AC005068;AC006154;CH236949;CH471091;Z35284;X06181	NP_000434.1;NP_061337.1;NP_061338.1;XP_011514615.1		6S7P;7NIU;7NIV;7NIW		P21439	111263			P21439	CHEMBL1743129	DB06414;DB06207						3.A.1.201.3	rs142794414;rs372685632;rs1343667900;rs780641693;rs8187788;rs1411970557;rs377268767;rs1408217402;rs1021988376;rs72552781;rs757693457;rs58238559;rs753318087;rs45596335;rs45547936;rs765478923;rs72552779;rs72552778;rs67876345;rs1168923653;rs72552777;rs121918443;rs763807769;rs1263565476;rs1189003716;rs748657435;rs375315619;rs1257887155;rs8187797;rs1810849139;rs66904256;rs121918441;rs761238221;rs1562975478;rs45575636;rs72552776;rs571555115;rs372476723;rs972726699;rs45476795;rs2230028;rs988987669;rs72552773;rs138773456;rs141677867;rs970324585;rs147134978;rs148052192;rs8187801;rs61730509;rs779829759;rs759787957;rs1051861187;rs56187107;rs1214110864;rs1262922848;rs121918442	53868;53869;613	ENST00000265723.8;ENST00000359206.8;ENST00000453593.5;ENST00000649586.2	5244	hsa:5244	ABCB4	45	ENSG00000005471	171060;600803;602347;614972	NX_P21439	69665;69663;79305	PA268	KOG0055	ENSGT00940000159418	CLU_000604_17_2_1	YEMCLGQ	6500128at2759	TF105193			R-HSA-1989781;R-HSA-382556;R-HSA-5678771	ABCB4	ENSG00000005471	cd18578;cd03249			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR027417;IPR039421	PTHR43394:SF28;PTHR43394	PF00664;PF00005			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	7
ABCB6	Q9NP58	Q9NP58-1;Q9NP58-4	PRO_0000000248	ABCB6	7.6.2.5	9606	UPI000004C4BA	19261;66664;61360;66680;61336;66768;66772;66776	0000139;0005524;0005654;0005739;0005740;0005741;0005765;0005768;0005774;0005783;0005789;0005794;0005829;0005886;0006778;0006779;0006878;0006879;0007420;0015439;0015562;0015886;0016887;0020037;0031901;0032585;0033013;0033162;0035351;0036020;0042168;0043190;0043588;0046906;0055085;0070062;0098849;0140359;1903232	CCDS2436.1;CCDS86920.1	AB039371;AF076775;AF308472;AF308473;AJ289233;AK057026;AK172812;AB209054;BC000559;BC043423;AF070598	NP_001336757.1;NP_005680.1	Q9NP58	3NH6;3NH9;3NHA;3NHB;7D7N;7D7R;7DNY;7DNZ;7EKL;7EKM;8FWK;8K7B;8K7C;8YR3;8YR4;9DBQ		Q9NP58	115369			Q9NP58	CHEMBL2007630							3.A.1.210.6	rs387906911;rs397514757;rs150221689;rs57467915;rs13018440;rs1574815954;rs60322991;rs397514756;rs754667801;rs764893806;rs147445258;rs149363094;rs796065353;rs397514758;rs145526996;rs13402964;rs142421126;rs148211042;rs387906910	81888;81889	ENST00000265316.9;ENST00000295750.5	10058	hsa:10058	ABCB6	47	ENSG00000115657	111600;605452;609153;614497;615402	NX_Q9NP58	98942;98943;98946;98944;98945;98947;98938;241;90044	PA24388	KOG0056	ENSGT00940000156160		YYGAEHY	6500128at2759	TF105194			R-HSA-1369007;R-HSA-5683371	ABCB6	ENSG00000115657	cd18581;cd03253			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR032410;IPR027417;IPR039421	PTHR24221;PTHR24221:SF654	PF00664;PF00005;PF16185			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	2
ABCC1	P33527	P33527-1;P33527-2;P33527-3;P33527-4;P33527-5;P33527-6;P33527-7;P33527-8;P33527-9	PRO_0000093351	ABCC1	7.6.2.2;7.6.2.3	9606	UPI00001FEEFC	19121;38951;38963;60128;33147;60160;74887;81611;81695;81699	0005524;0005886;0006691;0006805;0008559;0009410;0009925;0015420;0015431;0015562;0015889;0016020;0016323;0016324;0016328;0016887;0030148;0034040;0034599;0034634;0034775;0042167;0042626;0042908;0042910;0043225;0045332;0046624;0046943;0050729;0055085;0060326;0070062;0070633;0070729;0071716;0099039;0140115;0140359;0150104;1904646;1905039;1990962	CCDS42122.1;CCDS45427.1	L05628;AF022853;AF022827;AF022828;AF022829;AF022831;AF022833;AF022835;AF022837;AF022839;AF022841;AF022850;AF022849;AF022848;AF022847;AF022846;AF022845;AF022844;AF022843;AF022842;AF022852;AF022851;AF022840;AF022838;AF022836;AF022834;AF022832;AF022826;AF022825;AF022824;AF022830;EF419769;AC025778;AC130651;AC136624;AB209120;U91318;AC003026	NP_004987.2;NP_063915.2;XP_047290105.1;XP_054185061.1;XP_054236345.1		2CBZ;4C3Z;8VT4;8VUX;8VVC		P33527	110503			P33527	CHEMBL3004	DB05812;DB13783;DB00345;DB00701;DB01072;DB01076;DB00171;DB15719;DB04851;DB09061;DB14737;DB02659;DB00845;DB00286;DB00115;DB00970;DB00694;DB09213;DB00586;DB01248;DB00997;DB00470;DB00445;DB00773;DB08868;DB00693;DB00499;DB01645;DB00143;DB01016;DB00365;DB01050;DB01177;DB00619;DB00224;DB00328;DB00762;DB00602;DB00709;DB08855;DB14009;DB00563;DB00834;DB01204;DB02375;DB14011;DB03467;DB01165;DB01229;DB01174;DB01708;DB01032;DB00396;DB04216;DB03825;DB01045;DB00503;DB06176;DB01232;DB06335;DB01138;DB04348;DB09161;DB14962;DB05294;DB08881;DB00661;DB00570;DB00541;DB00399	779					3.A.1.208.8	rs41395947;rs41494447;rs60782127;rs112282109;rs45511401;rs4148356;rs45517537;rs13337489;rs41410450;rs28706727;rs369410659	54912;54913;54914;54915;54916;54917;54918;54919;54920	ENST00000399408.7;ENST00000399410.8;ENST00000572882.3;ENST00000621144.4	4363	hsa:4363	ABCC1	51	ENSG00000103222	158343;618915	NX_P33527	90635	PA244	KOG0054	ENSGT00940000160271		CFETGMR	6500128at2759	TF105199	MetaCyc:ENSG00000103222-MONOMER	7.6.2.2;7.6.2.3	R-HSA-1660661;R-HSA-189483;R-HSA-2142691;R-HSA-382556;R-HSA-9707564;R-HSA-9753281;R-HSA-9758890;R-HSA-9818032	ABCC1	ENSG00000103222	cd18595;cd18603;cd03250;cd03244			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR005292;IPR027417;IPR056227	PTHR24223;PTHR24223:SF241	PF00664;PF00005;PF24357			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	16
ABCC4	O15439	O15439-1;O15439-2;O15439-3;O15439-4	PRO_0000093362	ABCC4	7.6.2.-;7.6.2.2;7.6.2.3	9606	UPI00001A36E6	19121;60128;61364;38963;66424;16461;66188;66184;66388;66392;66380;66396;66400;66404;66408;66412;66416;66420	0001409;0002576;0005524;0005730;0005794;0005886;0006805;0006855;0008559;0015132;0015143;0015216;0015431;0015432;0015562;0015721;0015732;0015747;0016020;0016323;0016324;0016404;0016887;0031088;0032310;0034634;0042626;0042910;0043225;0043231;0055085;0060271;0070730;0071716;0098591;0140115;0140359;0150104	CCDS45061.1;CCDS76643.1;CCDS86356.1;CCDS9474.1	AF071202;AY081219;AY207008;AF541977;AK296247;AL139381;AL157818;AL356257;AL359750;CH471085;BC041560;U83660	NP_001098985.1;NP_001288758.1;NP_001288759.1;NP_005836.2		8BJF;8BWO;8BWP;8BWQ;8BWR;8I4A;8I4B;8I4C;8IZ7;8IZ8;8IZ9;8IZA;8J3W;8J3Z;8XOK;8XOL;8XOM		O15439	115551			O15439	CHEMBL1743128	DB00718;DB00770;DB01076;DB00171;DB01327;DB00482;DB02659;DB00286;DB02527;DB09213;DB00586;DB00917;DB00975;DB13146;DB00544;DB00712;DB00158;DB08884;DB00143;DB00999;DB01050;DB00619;DB00328;DB01009;DB00709;DB00814;DB01033;DB00563;DB00731;DB00198;DB01708;DB01032;DB01069;DB00481;DB14761;DB00533;DB01098;DB12332;DB00203;DB00398;DB01138;DB01268;DB04348;DB14126;DB09299;DB00300;DB00352;DB01586;DB00661;DB00495	782					3.A.1.208.7	rs11568681;rs11568689;rs4148460;rs45454092;rs11568658;rs11568684;rs2274407;rs11568701;rs11568705;rs11568668;rs11568669;rs753414892;rs11568699;rs11568697;rs9282570;rs3765534;rs146708960;rs11568659;rs11568694;rs45477596;rs139970608;rs45504892;rs11568644	48664;48665;48666;6540	ENST00000536256.3;ENST00000629385.1;ENST00000645237.2;ENST00000646439.1	10257	hsa:10257	ABCC4	55	ENSG00000125257	605250	NX_O15439		PA397	KOG0054	ENSGT00940000153931	CLU_000604_27_1_1	ACAQWFH	6500128at2759	TF105202		7.6.2.2;7.6.2.3	R-HSA-114608;R-HSA-382556;R-HSA-9748787;R-HSA-9753281	ABCC4	ENSG00000125257	cd18593;cd18601;cd03250;cd03244			IPR003593;IPR011527;IPR036640;IPR003439;IPR017871;IPR050173;IPR030240;IPR047083;IPR027417	PTHR24223;PTHR24223:SF357	PF00664;PF00005			PS50929;PS00211;PS50893	SM00382	SSF90123;SSF52540	13
