complexes	complex	subunits	reactions	genes	coefficients	cofactors	notes	stoichiometry	compartment	molar_mass
cplx_MONOMER_ADA_pc	cplx_MONOMER_ADA	protein_ADA_pc	ADA	ADA	1			protein_ADA_pc(1)	pc	40753.99800000008
cplx_MONOMER_ADK_pc	cplx_MONOMER_ADK	protein_ADK_pc	ADNK1	ADK	1			protein_ADK_pc(1)	pc	40541.03800000007
cplx_MONOMER_AK1_pc	cplx_MONOMER_AK1	protein_AK1_pc	ADK1	AK1	1			protein_AK1_pc(1)	pc	21637.677999999996
cplx_HOMOTETRAMER_ALDOA_pc	cplx_HOMOTETRAMER_ALDOA	protein_ALDOA_pc	FBA	ALDOA	4			protein_ALDOA_pc(4)	pc	157690.74000000028
cplx_HOMOTETRAMER_ALDOB_pc	cplx_HOMOTETRAMER_ALDOB	protein_ALDOB_pc	FBA	ALDOB	4			protein_ALDOB_pc(4)	pc	157898.80000000037
cplx_HOMOTETRAMER_ALDOC_pc	cplx_HOMOTETRAMER_ALDOC	protein_ALDOC_pc	FBA	ALDOC	4			protein_ALDOC_pc(4)	pc	157813.94400000048
cplx_HOMOTETRAMER_AMPD3_pc	cplx_HOMOTETRAMER_AMPD3	protein_AMPD3_pc	AMPDA	AMPD3	4			protein_AMPD3_pc(4)	pc	355217.6719999995
cplx_HOMODIMER_APRT_pc	cplx_HOMODIMER_APRT	protein_APRT_pc	ADPT	APRT	2			protein_APRT_pc(2)	pc	39211.127999999975
cplx_HOMOTETRAMER_AQP1_pc	cplx_HOMOTETRAMER_AQP1	protein_AQP1_pc	CO2t;H2Ot;O2t;NH4t	AQP1	4			protein_AQP1_pc(4)	pc	114102.988
cplx_HOMOTETRAMER_AQP3_pc	cplx_HOMOTETRAMER_AQP3	protein_AQP3_pc	H2Ot;NH4t	AQP3	4			protein_AQP3_pc(4)	pc	126170.10800000005
cplx_HETERODIMER_ATP1_A1B1_pc	cplx_HETERODIMER_ATP1_A1B1	protein_ATP1A1_pc;protein_ATP1B1_pc	NaKt	ATP1A1;ATP1B1	1;1			protein_ATP1A1_pc(1);protein_ATP1B1_pc(1)	pc	147938.9609999996
cplx_HETERODIMER_ATP1_A1B2_pc	cplx_HETERODIMER_ATP1_A1B2	protein_ATP1A1_pc;protein_ATP1B2_pc	NaKt	ATP1A1;ATP1B2	1;1			protein_ATP1A1_pc(1);protein_ATP1B2_pc(1)	pc	146242.7379999996
cplx_HETERODIMER_ATP1_A1B3_pc	cplx_HETERODIMER_ATP1_A1B3	protein_ATP1A1_pc;protein_ATP1B3_pc	NaKt	ATP1A1;ATP1B3	1;1			protein_ATP1A1_pc(1);protein_ATP1B3_pc(1)	pc	144388.26499999964
cplx_HETERODIMER_ATP1_A3B1_pc	cplx_HETERODIMER_ATP1_A3B1	protein_ATP1A3_pc;protein_ATP1B1_pc	NaKt	ATP1A3;ATP1B1	1;1			protein_ATP1A3_pc(1);protein_ATP1B1_pc(1)	pc	146788.41399999964
cplx_HETERODIMER_ATP1_A3B2_pc	cplx_HETERODIMER_ATP1_A3B2	protein_ATP1A3_pc;protein_ATP1B2_pc	NaKt	ATP1A3;ATP1B2	1;1			protein_ATP1A3_pc(1);protein_ATP1B2_pc(1)	pc	145092.19099999964
cplx_HETERODIMER_ATP1_A3B3_pc	cplx_HETERODIMER_ATP1_A3B3	protein_ATP1A3_pc;protein_ATP1B3_pc	NaKt	ATP1A3;ATP1B3	1;1			protein_ATP1A3_pc(1);protein_ATP1B3_pc(1)	pc	143237.71799999967
cplx_HETERODIMER_ATP1_A4B1_pc	cplx_HETERODIMER_ATP1_A4B1	protein_ATP1A4_pc;protein_ATP1B1_pc	NaKt	ATP1A4;ATP1B1	1;1			protein_ATP1A4_pc(1);protein_ATP1B1_pc(1)	pc	149225.44899999956
cplx_HETERODIMER_ATP1_A4B2_pc	cplx_HETERODIMER_ATP1_A4B2	protein_ATP1A4_pc;protein_ATP1B2_pc	NaKt	ATP1A4;ATP1B2	1;1			protein_ATP1A4_pc(1);protein_ATP1B2_pc(1)	pc	147529.22599999956
cplx_HETERODIMER_ATP1_A4B3_pc	cplx_HETERODIMER_ATP1_A4B3	protein_ATP1A4_pc;protein_ATP1B3_pc	NaKt	ATP1A4;ATP1B3	1;1			protein_ATP1A4_pc(1);protein_ATP1B3_pc(1)	pc	145674.75299999956
cplx_MONOMER_ATP2B1_pc	cplx_MONOMER_ATP2B1	protein_ATP2B1_pc	CAATPS1	ATP2B1	1			protein_ATP2B1_pc(1)	pc	134663.38699999952
cplx_MONOMER_ATP2B4_pc	cplx_MONOMER_ATP2B4	protein_ATP2B4_pc	CAATPS1	ATP2B4	1			protein_ATP2B4_pc(1)	pc	137909.84299999927
cplx_HOMODIMER_BPGM_pc	cplx_HOMODIMER_BPGM	protein_BPGM_pc	DPGM;DPGase;PGM	BPGM	2			protein_BPGM_pc(2)	pc	60001.79600000003
cplx_HETEROTETRAMER_SLC16A1_BSG_pc	cplx_HETEROTETRAMER_SLC16A1_BSG	protein_BSG_pc;protein_SLC16A1_pc	L_LACt2;PYRt2	BSG;SLC16A1	2;2			protein_BSG_pc(2);protein_SLC16A1_pc(2)	pc	192279.28200000056
cplx_HETEROTETRAMER_SLC16A7_BSG_pc	cplx_HETEROTETRAMER_SLC16A7_BSG	protein_BSG_pc;protein_SLC16A7_pc	L_LACt2;PYRt2	BSG;SLC16A7	2;2			protein_BSG_pc(2);protein_SLC16A7_pc(2)	pc	188801.5440000006
