	genes	uniprot	drugbank	pfam	hgnc.symbol	dbsnp	smpdb
0	AARS1	P49588	DB00160	PF01411;PF02272;PF07973	AARS		SMP0000055;SMP0000313;SMP0000350;SMP0000352
1	ABCA1	O95477	DB00163;DB00171;DB00675;DB01016;DB01599;DB11635	PF00005	ABCA1		
2	ABCB1	P08183	DB00027;DB00052;DB00080;DB00091;DB00104;DB00171;DB00175;DB00176;DB00188;DB00196;DB00199;DB00203;DB00206;DB00207;DB00213;DB00215;DB00216;DB00220;DB00224;DB00227;DB00234;DB00243;DB00246;DB00248;DB00252;DB00253;DB00255;DB00257;DB00273;DB00276;DB00279;DB00281;DB00285;DB00286;DB00295;DB00300;DB00315;DB00316;DB00317;DB00320;DB00321;DB00328;DB00333;DB00334;DB00338;DB00341;DB00342;DB00343;DB00344;DB00346;DB00349;DB00351;DB00358;DB00360;DB00363;DB00365;DB00373;DB00381;DB00382;DB00390;DB00391;DB00394;DB00396;DB00398;DB00401;DB00421;DB00428;DB00439;DB00440;DB00441;DB00443;DB00448;DB00451;DB00454;DB00455;DB00457;DB00458;DB00468;DB00470;DB00472;DB00476;DB00477;DB00480;DB00481;DB00482;DB00490;DB00495;DB00501;DB00502;DB00503;DB00508;DB00518;DB00520;DB00523;DB00530;DB00537;DB00539;DB00540;DB00541;DB00555;DB00557;DB00563;DB00564;DB00570;DB00571;DB00584;DB00585;DB00586;DB00588;DB00590;DB00602;DB00603;DB00608;DB00612;DB00613;DB00615;DB00619;DB00622;DB00623;DB00635;DB00637;DB00641;DB00648;DB00652;DB00655;DB00656;DB00661;DB00669;DB00674;DB00675;DB00678;DB00683;DB00688;DB00690;DB00694;DB00696;DB00698;DB00701;DB00709;DB00715;DB00717;DB00726;DB00734;DB00736;DB00741;DB00751;DB00758;DB00762;DB00768;DB00773;DB00776;DB00778;DB00783;DB00788;DB00796;DB00802;DB00813;DB00818;DB00829;DB00831;DB00834;DB00836;DB00845;DB00853;DB00860;DB00862;DB00863;DB00864;DB00872;DB00875;DB00877;DB00882;DB00908;DB00909;DB00916;DB00921;DB00932;DB00945;DB00950;DB00957;DB00959;DB00966;DB00967;DB00970;DB00972;DB00973;DB00975;DB00977;DB00993;DB00997;DB01006;DB01016;DB01023;DB01026;DB01030;DB01037;DB01045;DB01050;DB01054;DB01069;DB01072;DB01076;DB01079;DB01086;DB01087;DB01100;DB01103;DB01104;DB01110;DB01115;DB01117;DB01118;DB01128;DB01136;DB01137;DB01142;DB01149;DB01151;DB01162;DB01167;DB01169;DB01174;DB01175;DB01182;DB01183;DB01184;DB01190;DB01193;DB01195;DB01196;DB01197;DB01200;DB01202;DB01203;DB01204;DB01208;DB01211;DB01212;DB01217;DB01222;DB01224;DB01229;DB01232;DB01233;DB01234;DB01238;DB01239;DB01242;DB01244;DB01248;DB01253;DB01254;DB01259;DB01261;DB01263;DB01264;DB01267;DB01268;DB01323;DB01339;DB01340;DB01380;DB01388;DB01394;DB01396;DB01418;DB01420;DB01583;DB01587;DB01590;DB01601;DB01611;DB01645;DB02010;DB02261;DB02587;DB02659;DB02901;DB03203;DB03467;DB03825;DB04216;DB04348;DB04540;DB04573;DB04630;DB04690;DB04832;DB04840;DB04845;DB04851;DB04855;DB04868;DB04876;DB04877;DB04881;DB04905;DB04908;DB04951;DB04960;DB05015;DB05039;DB05239;DB05294;DB05449;DB05521;DB05667;DB05676;DB05773;DB05889;DB05928;DB06016;DB06176;DB06191;DB06207;DB06212;DB06228;DB06234;DB06237;DB06240;DB06287;DB06288;DB06290;DB06292;DB06374;DB06403;DB06414;DB06419;DB06420;DB06448;DB06480;DB06589;DB06603;DB06605;DB06616;DB06626;DB06636;DB06670;DB06695;DB06702;DB06772;DB07565;DB08816;DB08820;DB08822;DB08827;DB08828;DB08860;DB08864;DB08865;DB08868;DB08873;DB08874;DB08881;DB08882;DB08889;DB08893;DB08896;DB08899;DB08901;DB08906;DB08907;DB08910;DB08912;DB08916;DB08918;DB08930;DB08931;DB08934;DB08995;DB09026;DB09027;DB09030;DB09031;DB09034;DB09038;DB09039;DB09048;DB09054;DB09061;DB09063;DB09065;DB09073;DB09074;DB09075;DB09076;DB09078;DB09079;DB09082;DB09099;DB09102;DB09118;DB09160;DB09161;DB09183;DB09198;DB09213;DB09237;DB09239;DB09241;DB09270;DB09274;DB09280;DB09287;DB09291;DB09296;DB09297;DB09299;DB09330;DB11077;DB11251;DB11362;DB11363;DB11430;DB11544;DB11574;DB11575;DB11581;DB11586;DB11613;DB11632;DB11633;DB11635;DB11641;DB11652;DB11672;DB11689;DB11693;DB11697;DB11712;DB11718;DB11732;DB11739;DB11751;DB11753;DB11757;DB11760;DB11763;DB11770;DB11791;DB11793;DB11796;DB11800;DB11817;DB11827;DB11828;DB11853;DB11855;DB11869;DB11886;DB11901;DB11951;DB11952;DB11963;DB11967;DB11978;DB11979;DB11986;DB11995;DB12001;DB12005;DB12015;DB12026;DB12035;DB12070;DB12095;DB12141;DB12147;DB12236;DB12240;DB12332;DB12364;DB12455;DB12457;DB12466;DB12471;DB12483;DB12489;DB12500;DB12541;DB12548;DB12582;DB12597;DB12612;DB12674;DB12713;DB12799;DB12825;DB12836;DB12874;DB12887;DB12923;DB12941;DB13007;DB13125;DB13179;DB13867;DB13874;DB13878;DB13879;DB13919;DB13943;DB13944;DB13946;DB13951;DB13952;DB13953;DB13954;DB13955;DB13956;DB13997;DB14003;DB14009;DB14057;DB14061;DB14062;DB14063;DB14064;DB14065;DB14066;DB14067;DB14068;DB14069;DB14070;DB14071;DB14072;DB14126;DB14146;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB14568;DB14631;DB14635;DB14641;DB14649;DB14669;DB14723;DB14737;DB14761;DB14840;DB14845;DB14895;DB14962;DB14973;DB14989;DB15011;DB15035;DB15091;DB15097;DB15102;DB15133;DB15149;DB15233;DB15305;DB15328;DB15442;DB15444;DB15456;DB15463;DB15566;DB15568;DB15569;DB15673;DB15685;DB15688;DB15719;DB15822;DB15982;DB16098;DB16217;DB16220;DB16222;DB16236;DB16261;DB16267;DB16390;DB16407;DB16650;DB16691;DB16703;DB16732;DB16826;DB17472	PF00005;PF00664	ABCB1	rs1045642;rs2032582;rs2032583	SMP0000260;SMP0000433;SMP0000434;SMP0000435;SMP0000436;SMP0000437;SMP0000438;SMP0000439;SMP0000442;SMP0000472;SMP0000600;SMP0000601;SMP0000610;SMP0000636;SMP0000640;SMP0000649;SMP0000650;SMP0000652
3	ABCB4	P21439	DB06207;DB06414	PF00005;PF00664	ABCB4		
4	ABCC1	P33527	DB00115;DB00143;DB00171;DB00224;DB00286;DB00328;DB00345;DB00365;DB00396;DB00399;DB00445;DB00470;DB00499;DB00503;DB00541;DB00563;DB00570;DB00586;DB00602;DB00619;DB00661;DB00693;DB00694;DB00701;DB00709;DB00762;DB00773;DB00834;DB00845;DB00970;DB00997;DB01016;DB01032;DB01045;DB01050;DB01072;DB01076;DB01138;DB01165;DB01174;DB01177;DB01204;DB01229;DB01232;DB01248;DB01645;DB01708;DB02375;DB02659;DB03467;DB03825;DB04216;DB04348;DB04851;DB05294;DB05812;DB06176;DB06335;DB08855;DB08868;DB08881;DB09061;DB09161;DB09213;DB13783;DB14009;DB14011;DB14737;DB14962;DB15719	PF00005;PF00664	ABCC1		SMP0000433;SMP0000434;SMP0000435;SMP0000436;SMP0000437;SMP0000438;SMP0000439;SMP0000600;SMP0000640;SMP0000649;SMP0000650
5	ABCC10	Q5T3U5	DB00091;DB00203;DB00300;DB00441;DB00541;DB00563;DB00661;DB00694;DB00773;DB00783;DB00987;DB00997;DB01229;DB01248;DB04348;DB13952;DB13953;DB13954;DB13955;DB13956	PF00005;PF00664	ABCC10		SMP0000436;SMP0000437;SMP0000438;SMP0000439;SMP0000642
6	ABCC4	O15439	DB00143;DB00158;DB00171;DB00198;DB00203;DB00286;DB00300;DB00328;DB00352;DB00398;DB00481;DB00482;DB00495;DB00533;DB00544;DB00563;DB00586;DB00619;DB00661;DB00709;DB00712;DB00718;DB00731;DB00770;DB00814;DB00917;DB00975;DB00999;DB01009;DB01032;DB01033;DB01050;DB01069;DB01076;DB01098;DB01138;DB01268;DB01327;DB01586;DB01708;DB02527;DB02659;DB04348;DB08884;DB09213;DB09299;DB12332;DB13146;DB14126;DB14761	PF00005;PF00664	ABCC4		SMP0000427;SMP0000428;SMP0000430;SMP0000609;SMP0000640;SMP0000649
7	ABCC5	O15440	DB00143;DB00203;DB00495;DB00515;DB00544;DB00642;DB00718;DB00770;DB00917;DB00975;DB01032;DB01033;DB01045;DB01076;DB01138;DB02527;DB08818;DB11672;DB14635	PF00005;PF00664	ABCC5		SMP0000427;SMP0000428;SMP0000430;SMP0000609;SMP0000640
8	ABCG2	Q9UNQ0	DB00091;DB00158;DB00175;DB00201;DB00213;DB00220;DB00242;DB00255;DB00285;DB00286;DB00317;DB00338;DB00391;DB00394;DB00396;DB00398;DB00437;DB00439;DB00444;DB00448;DB00457;DB00470;DB00481;DB00482;DB00495;DB00503;DB00515;DB00526;DB00530;DB00541;DB00544;DB00549;DB00563;DB00602;DB00619;DB00624;DB00631;DB00642;DB00655;DB00669;DB00675;DB00688;DB00694;DB00698;DB00709;DB00740;DB00762;DB00773;DB00783;DB00795;DB00843;DB00845;DB00853;DB00921;DB00958;DB00966;DB00970;DB00973;DB00997;DB01016;DB01030;DB01051;DB01079;DB01094;DB01097;DB01098;DB01129;DB01167;DB01204;DB01232;DB01234;DB01238;DB01248;DB01254;DB01268;DB01645;DB01685;DB01708;DB02115;DB02703;DB03467;DB03496;DB04216;DB04348;DB04540;DB04690;DB04847;DB04851;DB04854;DB04868;DB04881;DB05239;DB05294;DB05467;DB05928;DB06210;DB06228;DB06234;DB06237;DB06288;DB06290;DB06374;DB06448;DB06589;DB06605;DB06636;DB06654;DB06772;DB06813;DB08828;DB08860;DB08864;DB08880;DB08881;DB08896;DB08901;DB08907;DB08912;DB08916;DB08930;DB08931;DB08934;DB09027;DB09038;DB09054;DB09061;DB09065;DB09073;DB09074;DB09078;DB09079;DB09102;DB09118;DB09183;DB09274;DB09279;DB09291;DB09296;DB09297;DB09299;DB09330;DB11363;DB11581;DB11613;DB11632;DB11633;DB11644;DB11652;DB11682;DB11689;DB11697;DB11712;DB11718;DB11732;DB11751;DB11757;DB11760;DB11763;DB11791;DB11793;DB11796;DB11800;DB11817;DB11820;DB11827;DB11853;DB11855;DB11886;DB11901;DB11943;DB11952;DB11963;DB11967;DB11978;DB11995;DB12001;DB12010;DB12015;DB12020;DB12026;DB12070;DB12095;DB12141;DB12151;DB12218;DB12255;DB12267;DB12332;DB12457;DB12483;DB12500;DB12548;DB12597;DB12612;DB12713;DB12874;DB12887;DB12941;DB13055;DB13125;DB13874;DB13878;DB13879;DB13943;DB13944;DB13946;DB13952;DB13953;DB13954;DB13955;DB13956;DB13997;DB14009;DB14011;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB14649;DB14723;DB14737;DB14840;DB14962;DB15091;DB15097;DB15102;DB15133;DB15149;DB15233;DB15305;DB15328;DB15442;DB15456;DB15569;DB15685;DB15822;DB15982;DB16098;DB16217;DB16267;DB16390;DB16407;DB16650;DB16703;DB16826;DB17083;DB17472	PF00005;PF01061	ABCG2	rs2231142	SMP0000433;SMP0000434;SMP0000435;SMP0000472;SMP0000600;SMP0000640;SMP0000649;SMP0000650;SMP0000652
9	ABO	P16442	DB02196;DB03435;DB03501;DB03772;DB04141;DB04678;DB04679;DB04680;DB04681;DB07341;DB07357;DB07378;DB07633	PF03414	ABO		
