	Entry	Gene Names (primary)	Organism (ID)	Alternative products (isoforms)	EC number	Rhea ID	UniParc	Gene Ontology IDs	Chain	PubMed ID	CCDS	EMBL	RefSeq	BMRB	PDB	SASBDB	SMR	BioGRID	CORUM	ComplexPortal	DIP	ELM	IntAct	MINT	STRING	BindingDB	ChEMBL	DrugBank	DrugCentral	GuidetoPHARMACOLOGY	SwissLipids	Allergome	CAZy	IDEAL	MEROPS	PeroxiBase	REBASE	TCDB	DEPOD	PhosphoSitePlus	dbSNP	COMPLUYEAST-2DPAGE	EPD	MassIVE	MaxQB	PRIDE	PaxDb	PeptideAtlas	ProteomicsDB	Ensembl	EnsemblBacteria	EnsemblFungi	EnsemblMetazoa	EnsemblPlants	EnsemblProtists	GeneID	Gramene	KEGG	VectorBase	WBParaSite	ArachnoServer	CGD	ConoServer	CTD	dictyBase	EchoBASE	GeneCards	HGNC	HPA	MGI	MIM	neXtProt	Orphanet	PharmGKB	PomBase	RGD	SGD	TAIR	TubercuList	VGNC	WormBase	Xenbase	ZFIN	eggNOG	GeneTree	HOGENOM	OMA	OrthoDB	PhylomeDB	TreeFam	BioCyc	BRENDA	PathwayCommons	Reactome	SIGNOR	GeneWiki	Bgee	ExpressionAtlas	CDD	DisProt	HAMAP	InterPro	PANTHER	Pfam	PIRSF	PRINTS	PROSITE	SMART	SUPFAM
0	A6NDG6	PGP	9606	ALTERNATIVE PRODUCTS:  	3.1.3.21; 3.1.3.48	RHEA:10684 RHEA:46084 RHEA:66372	UPI00000473F8	GO:0000121; GO:0000287; GO:0004725; GO:0005737; GO:0006114; GO:0006650; GO:0008967; GO:0043136; GO:0043262; GO:0045721	"CHAIN 1..321; /note=""Glycerol-3-phosphate phosphatase""; /id=""PRO_0000316888"""	15616553; 215071; 21269460; 26755581	CCDS42104.1;	AC009065;CH471112;	NP_001035830.1;				A6NDG6;	129694;					A6NDG6;	A6NDG6;	9606.ENSP00000330918;														PGP;	A6NDG6;			A6NDG6;	A6NDG6;	A6NDG6;		9606-ENSP00000330918;	A6NDG6;	907;	ENST00000333503.8;						283871;		hsa:283871;						283871;			PGP;	HGNC:8909;	ENSG00000184207;		172280;	NX_A6NDG6;		PA33246;										KOG2882;	ENSGT00940000160577;	CLU_043473_0_1_1;	PPMHRET;	217676at2759;	A6NDG6;	TF314344;			A6NDG6;	R-HSA-70171;			ENSG00000184207;	A6NDG6;	cd07510;			IPR036412;IPR006357;IPR023214;IPR006349;	PTHR19288;PTHR19288:SF92;	PF13344;PF13242;	PIRSF000915;				SSF56784;
1	A6NFX1	MFSD2B	9606	ALTERNATIVE PRODUCTS:  		RHEA:38667 RHEA:38671 RHEA:70207	UPI000047F9C2	GO:0003376; GO:0005886; GO:0006869; GO:0008643; GO:0015293; GO:0046624; GO:0071702; GO:1901731	"CHAIN 1..504; /note=""Sphingosine-1-phosphate transporter MFSD2B""; /id=""PRO_0000341260"""	15815621; 18694395; 29045386; 29563527	CCDS86824.1;	AC104665;AC008073;BX357394;	NP_001333809.1;				A6NFX1;	132904;							9606.ENSP00000342501;													2.A.2.3.16;		A6NFX1;				A6NFX1;			9606-ENSP00000385527;	A6NFX1;	1085;	ENST00000338315.6;						388931;		hsa:388931;						388931;			MFSD2B;	HGNC:37207;	ENSG00000205639;		617845;	NX_A6NFX1;		PA165696804;										KOG4830;	ENSGT00390000005318;	CLU_027408_6_1_1;	LPMAEWF;	6761at2759;	A6NFX1;	TF331194;			A6NFX1;				ENSG00000205639;	A6NFX1;	cd17452;			IPR039672;IPR036259;	PTHR11328;PTHR11328:SF30;	PF13347;					SSF103473;
2	O00154	ACOT7	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=7; Name=1; Synonyms=B, HBACHb; IsoId=O00154-1; Sequence=Displayed; Name=2; Synonyms=A-X, hBACHa-X; IsoId=O00154-2; Sequence=VSP_000152, VSP_000155, VSP_000156; Name=3; Synonyms=A-Xi, hBACHa-Xi; IsoId=O00154-3; Sequence=VSP_000152, VSP_000154; Name=4; Synonyms=A, hBACHa; IsoId=O00154-4; Sequence=VSP_000152; Name=5; Synonyms=C, hBACHc; IsoId=O00154-5; Sequence=VSP_000151; Name=6; Synonyms=D, hBACHd; IsoId=O00154-6; Sequence=VSP_000153; Name=7; IsoId=O00154-7; Sequence=VSP_047094;	3.1.2.2	RHEA:16645 RHEA:30143 RHEA:30135 RHEA:40139 RHEA:40119 RHEA:40059 RHEA:30139	UPI000012674F	GO:0000062; GO:0005654; GO:0005739; GO:0005829; GO:0006637; GO:0015937; GO:0016290; GO:0036042; GO:0036114; GO:0036116; GO:0042803; GO:0051792; GO:0052689; GO:0070062; GO:0102991; GO:1900535	"CHAIN 1..380; /note=""Cytosolic acyl coenzyme A thioester hydrolase""; /id=""PRO_0000053806"""	10578051; 12435388; 14702039; 16710414; 15489334; 19608861; 21269460	CCDS30573.1 [O00154-7];CCDS65.1 [O00154-1];CCDS66.1 [O00154-5];CCDS67.1 [O00154-6];	D88894;AB074415;AB074416;AB074417;AB074418;AB074419;U91316;BT006888;AK289572;AK290097;AK291583;AK292202;AK057168;AL031847;AL031848;CH471130;CH471130;CH471130;BC017365;	NP_009205.3 [O00154-7];NP_863654.1 [O00154-1];NP_863655.1 [O00154-5];NP_863656.1 [O00154-6];		2QQ2;		O00154;	116460;					O00154;	O00154;	9606.ENSP00000367086;															O00154;			O00154;	O00154;	O00154;		9606-ENSP00000367086;	O00154;	47737 [O00154-1];47738 [O00154-2];47739 [O00154-3];47740 [O00154-4];47741 [O00154-5];47742 [O00154-6];	ENST00000361521.9 [O00154-7];ENST00000377842.7 [O00154-6];ENST00000377845.7 [O00154-5];ENST00000377855.6 [O00154-1];ENST00000377860.8 [O00154-3];ENST00000418124.5 [O00154-2];ENST00000608083.5 [O00154-4];						11332;		hsa:11332;						11332;			ACOT7;	HGNC:24157;	ENSG00000097021;		602587;	NX_O00154;		PA142672655;										KOG2763;	ENSGT00940000155229;	CLU_050164_0_0_1;	PTDVNWG;	5393604at2759;	O00154;	TF329579;	MetaCyc:HS01875-MONOMER;	3.1.2.2;3.1.2.20;	O00154;	R-HSA-77289;		ACOT7;	ENSG00000097021;	O00154;	cd03442;			IPR040170;IPR033120;IPR029069;IPR006683;	PTHR11049;PTHR11049:SF27;	PF03061;			PS51770;		SSF54637;
3	O00299	CLIC1	9606	ALTERNATIVE PRODUCTS:  			UPI000011785A	GO:0005254; GO:0005615; GO:0005634; GO:0005635; GO:0005737; GO:0005739; GO:0005783; GO:0005886; GO:0005903; GO:0006821; GO:0007165; GO:0016020; GO:0031965; GO:0031982; GO:0034707; GO:0045296; GO:0045669; GO:0048471; GO:0051881; GO:0070062; GO:0070527; GO:0072562	"CHAIN 2..241; /note=""Chloride intracellular channel protein 1""; /id=""PRO_0000144201"""	9139710; 10191309; 10384126; 14656967; 14574404; 15489334; 10834939; 11195932; 10793131; 11940526; 11978800; 12163479; 12681486; 18850721; 19413330; 19608861; 21269460; 22223895; 22814378; 23186163; 24275569; 25944712; 11551966; 14613939	CCDS4719.1;	U93205;AF034607;AF109197;AJ012008;CR542071;AF129756;BA000025;AL662899;BC064527;BC095469;X87689;	NP_001274522.1;NP_001274523.1;NP_001279.2;		1K0M;1K0N;1K0O;1RK4;3O3T;3P8W;3P90;3QR6;3SWL;3TGZ;3UVH;4IQA;4JZQ;4K0G;4K0N;7F8R;7FBQ;		O00299;	107604;					O00299;	O00299;	9606.ENSP00000364935;	O00299;		DB11638;DB09130;										1.A.12.1.2;		O00299;			O00299;	O00299;		O00299;	9606-ENSP00000364935;	O00299;	47828;	ENST00000375779.6;ENST00000375780.6;ENST00000375784.8;ENST00000383404.6;ENST00000383405.6;ENST00000395892.5;ENST00000400052.7;ENST00000400058.5;ENST00000415179.5;ENST00000418285.6;ENST00000420458.5;ENST00000422167.6;ENST00000423055.5;ENST00000423143.5;ENST00000423804.5;ENST00000425464.6;ENST00000431921.5;ENST00000433916.5;ENST00000434202.5;ENST00000435242.5;ENST00000438708.5;ENST00000438750.5;ENST00000442045.5;ENST00000447338.5;ENST00000447369.5;ENST00000451546.5;ENST00000456863.6;ENST00000457485.6;ENST00000614673.1;ENST00000614982.1;ENST00000616760.1;ENST00000618288.1;ENST00000619727.1;ENST00000621055.1;ENST00000622613.1;						1192;		hsa:1192;						1192;			CLIC1;	HGNC:2062;	ENSG00000213719;		602872;	NX_O00299;		PA26588;										KOG1422;	ENSGT00940000154708;	CLU_061051_1_0_1;	SYMKSIF;	103277at2759;	O00299;	TF315438;			O00299;			CLIC1;	ENSG00000213719;	O00299;	cd10300;cd03061;			IPR002946;IPR030259;IPR010987;IPR036282;IPR040079;IPR004045;IPR036249;	PTHR45476:SF2;PTHR45476;	PF13410;PF13409;		PR01263;	PS50405;		SSF47616;SSF52833;
4	O00408	PDE2A	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=6; Comment=Additional isoforms seem to exist. Experimental confirmation may be lacking for some isoforms.; Name=PDE2A3; IsoId=O00408-1; Sequence=Displayed; Name=PDE2A1; IsoId=O00408-2; Sequence=VSP_055315; Name=PDE2A2; IsoId=O00408-3; Sequence=VSP_055316; Name=PDE2A4; IsoId=O00408-4; Sequence=VSP_055317; Name=5; IsoId=O00408-5; Sequence=VSP_055316, VSP_055318; Name=6; IsoId=O00408-6; Sequence=VSP_055315, VSP_055319, VSP_055320;	3.1.4.17	RHEA:14653 RHEA:16957 RHEA:25277	UPI000003B340	GO:0000122; GO:0000287; GO:0003170; GO:0003281; GO:0004115; GO:0004118; GO:0005634; GO:0005737; GO:0005741; GO:0005743; GO:0005759; GO:0005783; GO:0005794; GO:0005829; GO:0005886; GO:0007193; GO:0008270; GO:0010628; GO:0010752; GO:0010754; GO:0010821; GO:0019933; GO:0019934; GO:0030224; GO:0030552; GO:0030553; GO:0030911; GO:0035904; GO:0036006; GO:0042301; GO:0042734; GO:0042802; GO:0042803; GO:0043116; GO:0043117; GO:0043949; GO:0043951; GO:0046069; GO:0047555; GO:0048471; GO:0050729; GO:0061028; GO:0071260; GO:0071320; GO:0071321; GO:0071466; GO:0071560; GO:0097011; GO:0097060; GO:1904613	"CHAIN 2..941; /note=""cGMP-dependent 3',5'-cyclic phosphodiesterase""; /id=""PRO_0000198796"""	9210593; 14702039; 16554811; 19632989; 19369195; 20213681; 24705027; 28463107; 29392776; 32467598; 32196122; 15938621; 19828435; 23899287	CCDS44670.1 [O00408-3];CCDS53678.1 [O00408-4];CCDS73345.1 [O00408-2];CCDS8216.1 [O00408-1];	U67733;AY495087;AY495088;AY495089;AK092278;AK131525;AK312434;AP003065;AP005019;	NP_001137311.1 [O00408-3];NP_001139681.1 [O00408-4];NP_001230713.1 [O00408-2];NP_002590.1 [O00408-1];		1Z1L;3IBJ;3ITM;3ITU;4C1I;4D08;4D09;4HTX;4HTZ;4JIB;5TZ3;5TZA;5TZC;5TZH;5TZW;5TZX;5TZZ;5U00;5U7D;5U7I;5U7J;5U7K;5U7L;5VP0;5VP1;5XKM;6B96;6B97;6B98;6BLF;6C7D;6C7E;6C7F;6C7G;6C7I;6C7J;6CYB;6CYC;6CYD;6ZND;6ZQZ;		O00408;	111164;			DIP-40269N;	O00408;	O00408;		9606.ENSP00000334910;	O00408;	CHEMBL2652;	DB07954;DB00201;DB02315;DB06246;DB05142;DB08811;DB09283;	O00408;	1297;										O00408;	rs987916591 rs341047		O00408;	O00408;	O00408;		9606-ENSP00000334910;	O00408;	28099;47868 [O00408-1];47869 [O00408-4];67904;	ENST00000334456.10 [O00408-1];ENST00000376450.7 [O00408-5];ENST00000444035.6 [O00408-2];ENST00000540345.5 [O00408-4];ENST00000544570.5 [O00408-3];						5138;		hsa:5138;						5138;			PDE2A;	HGNC:8777;	ENSG00000186642;		602658;619150;	NX_O00408;	31709;	PA33125;										KOG3689;	ENSGT00940000159817;	CLU_006980_3_1_1;	HVKKGYR;	5479253at2759;	O00408;	TF316499;		3.1.4.17;	O00408;	R-HSA-418457;R-HSA-418555;		PDE2A;	ENSG00000186642;	O00408;	cd00077;			IPR003018;IPR029016;IPR003607;IPR023088;IPR002073;IPR036971;IPR023174;	PTHR11347:SF102;PTHR11347;	PF01590;PF00233;		PR00387;	PS00126;PS51845;	SM00065;SM00471;	SSF55781;SSF109604;
5	O00555	CACNA1A	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=6; Comment=Additional isoforms seem to exist.; Name=1; Synonyms=1A-1, BI-1-GGCAG {ECO:0000303|PubMed:8988170}; IsoId=O00555-8; Sequence=Displayed; Name=2; Synonyms=1A-2, BI-1 {ECO:0000303|PubMed:8988170}; IsoId=O00555-2; Sequence=VSP_059675, VSP_059676, VSP_059677, VSP_059681; Name=3; Synonyms=BI-1(V1) {ECO:0000303|PubMed:8988170}; IsoId=O00555-3; Sequence=VSP_059675, VSP_059678, VSP_059679, VSP_059681; Name=4; Synonyms=BI-1(V1)-GGCAG {ECO:0000303|PubMed:8988170}; IsoId=O00555-4; Sequence=VSP_059675, VSP_059678, VSP_059679, VSP_059682; Name=5; Synonyms=BI-1(V2) {ECO:0000303|PubMed:8988170}; IsoId=O00555-5; Sequence=VSP_059675, VSP_059680, VSP_059681; Name=6; Synonyms=BI-1(V2)-GGCAG {ECO:0000303|PubMed:8988170}; IsoId=O00555-6; Sequence=VSP_059675, VSP_059680, VSP_059682;		RHEA:29671	UPI0000141565	GO:0001540; GO:0005245; GO:0005634; GO:0005737; GO:0005886; GO:0005891; GO:0007204; GO:0007268; GO:0008331; GO:0016020; GO:0019905; GO:0042995; GO:0043025; GO:0045202; GO:0046872; GO:0050804; GO:0070588; GO:0098703; GO:1904645; GO:1904646	"CHAIN 1..2506; /note=""Voltage-dependent P/Q-type calcium channel subunit alpha-1A""; /id=""PRO_0000053916"""	10049321; 8898206; 8988170; 10753886; 15057824; 7823133; 1335101; 8525433; 11865310; 18400181; 9345107; 9302278; 10987655; 10408532; 10408533; 11409427; 11176968; 11439943; 11723274; 12420090; 15293273; 15032980; 15173248; 14718690; 16866717; 16325861; 18400034; 18602318; 19232643; 19429006; 20682717; 20129625; 21696515; 24836863; 26716990; 27476654; 27250579; 29053796; 28900389; 28742085; 33798445	CCDS45998.1 [O00555-8];CCDS45999.1 [O00555-3];CCDS82301.1 [O00555-2];	AF004883;AF004884;X99897;Z80114;Z80115;U79663;U79664;U79665;U79666;U79667;U79668;AB035727;AC005305;AC005513;AC008540;AC011446;AC022436;AC026805;AC093062;AC098781;AC124224;S76537;U06702;	NP_000059.3 [O00555-2];NP_001120693.1 [O00555-3];NP_001120694.1 [O00555-8];NP_001167551.1;NP_075461.2;	O00555;	3BXK;		O00555;	107227;	O00555;				O00555;	O00555;	9606.ENSP00000489829;	O00555;	CHEMBL4266;	DB09231;DB01244;DB13746;DB11148;DB11093;DB11348;DB14481;DB09232;DB06446;DB06751;DB09235;DB00228;DB00153;DB09236;DB00825;DB00836;DB00653;DB09238;DB00622;DB01054;DB00252;DB00421;DB09089;DB00661;DB06283;	O00555;									1.A.1.11.27;		O00555;	rs15999 rs886037944 rs121908211 rs121908222 rs121908225 rs121908238 rs121908228 rs121908231 rs121908236 rs121908215 rs121908239 rs121908245 rs41276886 rs121908240 rs121908217 rs121908246 rs121908212 rs886037945 rs121908213 rs121908218 rs16019 rs121908241 rs121908242 rs16020 rs16022 rs16023 rs16024 rs16027 rs16028 rs121908223 rs1568473283 rs121908230 rs121908219 rs121908227 rs121908237 rs121908232 rs121908233 rs121908234 rs1131691374 rs886037946 rs1555740805 rs121908216 rs121908247 rs121908220 rs1057519429 rs121908243 rs121908221 rs121908224 rs121908229 rs121908226 rs121908214 rs121908244 rs121908235 rs16056			O00555;	O00555;		9606-ENSP00000353362;	O00555;	47967 [O00555-2];47968 [O00555-3];47969 [O00555-4];47970 [O00555-5];47971 [O00555-6];	ENST00000360228.11 [O00555-8];ENST00000637276.1 [O00555-5];ENST00000637432.1 [O00555-2];ENST00000638009.2 [O00555-3];						773;		hsa:773;						773;			CACNA1A;	HGNC:1388;	ENSG00000141837;		108500;141500;183086;601011;617106;	NX_O00555;	2131;71518;569;97;2382;442835;98758;	PA26007;										KOG2301;	ENSGT00940000156518;	CLU_000540_1_0_1;	KRMCQHR;	1110761at2759;	O00555;	TF312805;			O00555;	R-HSA-112308;R-HSA-422356;	O00555;	Cav2.1;	ENSG00000141837;	O00555;				IPR005448;IPR031649;IPR005821;IPR014873;IPR002077;IPR027359;	PTHR45628;PTHR45628:SF3;	PF08763;PF16905;PF00520;		PR00167;PR01632;		SM01062;	SSF81324;
6	O00764	PDXK	9606	ALTERNATIVE PRODUCTS:  Event=Alternative splicing; Named isoforms=3; Name=1; IsoId=O00764-1; Sequence=Displayed; Name=2; IsoId=O00764-2; Sequence=VSP_004653; Name=3; Synonyms=PKH-T; IsoId=O00764-3; Sequence=VSP_010671;	2.7.1.35	RHEA:10224 RHEA:25104 RHEA:25108	UPI0000131524	GO:0000287; GO:0005524; GO:0005576; GO:0005634; GO:0005654; GO:0005829; GO:0008270; GO:0008478; GO:0009443; GO:0016310; GO:0030170; GO:0030955; GO:0031402; GO:0031403; GO:0034774; GO:0035580; GO:0042803; GO:0042817; GO:0042818; GO:0070062	"CHAIN 1..312; /note=""Pyridoxal kinase""; /id=""PRO_0000213335"""	9099727; 15154080; 10830953; 15489334; 10987144; 18691976; 19369195; 21269460; 23186163; 24275569; 28716709; 16600635; 17766369; 19351586; 22879864; 31187503	CCDS13699.1 [O00764-1];	U89606;AY303972;AP001752;BC000123;BC005825;	NP_003672.1 [O00764-1];XP_005261256.1 [O00764-3];XP_011528062.1;XP_011528063.1 [O00764-3];XP_016883972.1;XP_016883973.1;		2AJP;2F7K;2YXT;2YXU;3FHX;3FHY;3KEU;4EN4;4EOH;		O00764;	114135;	O00764;				O00764;	O00764;	9606.ENSP00000291565;	O00764;	CHEMBL1075181;	DB04776;DB03909;DB04770;DB00147;DB00165;	O00764;											O00764;	rs759333796 rs757480516		O00764;	O00764;	O00764;		9606-ENSP00000291565;	O00764;	48024 [O00764-1];48025 [O00764-2];48026 [O00764-3];	ENST00000291565.9 [O00764-1];ENST00000468090.5 [O00764-2];						8566;								8566;			PDXK;	HGNC:8819;	ENSG00000160209;		179020;618511;	NX_O00764;		PA33162;										KOG2599;	ENSGT00390000003874;	CLU_046496_1_1_1;	CPNQLEL;	5472295at2759;	O00764;	TF315004;	MetaCyc:HS08466-MONOMER;	2.7.1.35;	O00764;	R-HSA-6798695;R-HSA-964975;		PDXK;	ENSG00000160209;	O00764;	cd01173;			IPR013749;IPR004625;IPR029056;	PTHR10534;PTHR10534:SF2;	PF08543;					SSF53613;
7	O00767	SCD	9606	ALTERNATIVE PRODUCTS:  	1.14.19.1	RHEA:19721 RHEA:36931	UPI00001252D2	GO:0004768; GO:0005506; GO:0005730; GO:0005783; GO:0005789; GO:0006636; GO:0016020; GO:0016491; GO:0032896; GO:0070542; GO:0120162; GO:1903966	"CHAIN 1..359; /note=""Stearoyl-CoA desaturase""; /id=""PRO_0000185395"""	10229681; 14702039; 15164054; 15489334; 11415448; 19892738; 7909540; 15907797; 15610069; 18691976; 18669648; 18765284; 21269460; 21406692; 23186163; 26098317	CCDS7493.1;	Y13647;AF097514;AB032261;AK312312;AK222862;AL139819;CH471066;CH471066;BC005807;BC062303;AF320307;S70284;	NP_005054.3;		4ZYO;		O00767;	112225;					O00767;	O00767;	9606.ENSP00000359380;	O00767;	CHEMBL5555;				SLP:000000465;									O00767;	rs2234970		O00767;	O00767;	O00767;		9606-ENSP00000359380;	O00767;	48027;	ENST00000370355.3;						6319;		hsa:6319;						6319;			SCD;	HGNC:10571;	ENSG00000099194;		604031;	NX_O00767;		PA34984;										KOG1600;	ENSGT00940000154908;	CLU_027359_0_0_1;	CQHGPID;	637961at2759;	O00767;	TF313251;		1.14.19.1;	O00767;	R-HSA-2426168;R-HSA-75105;R-HSA-9029558;	O00767;	Stearoyl-CoA_desaturase-1;	ENSG00000099194;		cd03505;			IPR015876;IPR001522;	PTHR11351;PTHR11351:SF31;			PR00075;	PS00476;
8	O14556	GAPDHS	9606	ALTERNATIVE PRODUCTS:  	1.2.1.12	RHEA:10300	UPI000012AE83	GO:0004365; GO:0005634; GO:0005829; GO:0006006; GO:0006096; GO:0030317; GO:0045821; GO:0050661; GO:0051287	"CHAIN 1..408; /note=""Glyceraldehyde-3-phosphate dehydrogenase, testis-specific""; /id=""PRO_0000145502"""	10714828; 14702039; 15057824; 15489334; 16820410; 18298375; 21269272	CCDS12465.1;	AJ005371;AF216641;AF216631;AF216632;AF216633;AF216634;AF216635;AF216636;AF216637;AF216638;AF216639;AF216640;AY306129;AK314980;AC002389;BC036373;	NP_055179.1;		3H9E;3PFW;5C7L;5C7O;		O14556;	117681;					O14556;	O14556;	9606.ENSP00000222286;			DB02205;DB04477;DB11638;DB03331;DB00157;DB01593;DB14487;DB14533;DB14548;												O14556;	rs2285514		O14556;	O14556;	O14556;		9606-ENSP00000222286;	O14556;	48082;	ENST00000222286.9;						26330;		hsa:26330;						26330;			GAPDHS;	HGNC:24864;	ENSG00000105679;		609169;	NX_O14556;		PA134934259;										KOG0657;	ENSGT00940000160272;	CLU_030140_0_3_1;	NAKVLAW;	275384at2759;	O14556;	TF300533;	MetaCyc:HS02793-MONOMER;	1.2.1.12;	O14556;	R-HSA-390471;R-HSA-70171;R-HSA-70263;	O14556;	GAPDHS;	ENSG00000105679;	O14556;				IPR020831;IPR020830;IPR020829;IPR020828;IPR006424;IPR036291;	PTHR10836;PTHR10836:SF79;	PF02800;PF00044;		PR00078;	PS00071;	SM00846;	SSF55347;SSF51735;
9	O14569	CYB561D2	9606	ALTERNATIVE PRODUCTS:  	7.2.1.3	RHEA:66524 RHEA:30403	UPI000000DC32	GO:0005783; GO:0005789; GO:0016491; GO:0020037; GO:0030659; GO:0031982; GO:0046872; GO:0140571; GO:0140575; GO:0140576	"CHAIN 2..222; /note=""Transmembrane reductase CYB561D2""; /id=""PRO_0000151036"""	14702039; 16641997; 15489334; 19892738; 11085536; 19734123; 23641721; 23235316	CCDS2827.1;	AF040704;AK291167;AC002481;CH471055;BC047691;	NP_001278213.1;NP_008953.1;				O14569;	116252;					O14569;		9606.ENSP00000391209;															O14569;			O14569;	O14569;	O14569;		9606-ENSP00000391209;	O14569;	48090;	ENST00000232508.9;ENST00000418577.1;ENST00000424512.5;ENST00000425346.6;						11068;		hsa:11068;						11068;			CYB561D2;	HGNC:30253;	ENSG00000114395;		607068;	NX_O14569;		PA134977950;										ENOG502QRPJ;	ENSGT00440000038072;	CLU_072399_3_0_1;	SWFSWHP;	51140at2759;	O14569;	TF323584;			O14569;				ENSG00000114395;	O14569;	cd08761;			IPR045150;IPR006593;	PTHR15422;PTHR15422:SF21;	PF03188;			PS50939;	SM00665;
